序号	汉字	次数	频率	累计频率
4922	旯	435	0.000%	99.982%
4923	妁	434	0.000%	99.982%
4924	岬	434	0.000%	99.982%
4925	孛	433	0.000%	99.982%
4926	泖	433	0.000%	99.982%
4927	裾	432	0.000%	99.982%
4928	榈	431	0.000%	99.982%
4929	荚	429	0.000%	99.982%
4930	跎	428	0.000%	99.982%
4931	囿	425	0.000%	99.982%
4932	悒	425	0.000%	99.982%
4933	檑	425	0.000%	99.982%
4934	谥	425	0.000%	99.982%
4935	辔	425	0.000%	99.982%
4936	谶	422	0.000%	99.982%
4937	蚺	421	0.000%	99.982%
4938	嫱	420	0.000%	99.982%
4939	痂	420	0.000%	99.982%
4940	虺	420	0.000%	99.982%
4941	牯	418	0.000%	99.982%
4942	镗	417	0.000%	99.982%
4943	煨	415	0.000%	99.982%
4944	饴	414	0.000%	99.982%
4945	獾	412	0.000%	99.983%
4946	瑗	412	0.000%	99.983%
4947	闫	411	0.000%	99.983%
4948	伉	410	0.000%	99.983%
4949	祧	410	0.000%	99.983%
4950	诙	410	0.000%	99.983%
4951	胪	409	0.000%	99.983%
4952	啖	408	0.000%	99.983%
4953	钴	408	0.000%	99.983%
4954	揆	407	0.000%	99.983%
4955	苻	407	0.000%	99.983%
4956	錾	407	0.000%	99.983%
4957	鼹	406	0.000%	99.983%
4958	埠	405	0.000%	99.983%
4959	阒	405	0.000%	99.983%
4960	笞	404	0.000%	99.983%
4961	豕	402	0.000%	99.983%
4962	耄	401	0.000%	99.983%
4963	撷	400	0.000%	99.983%
4964	箸	400	0.000%	99.983%
4965	椤	399	0.000%	99.983%
4966	痔	399	0.000%	99.983%
4967	篙	399	0.000%	99.983%
4968	菀	398	0.000%	99.983%
4969	嫫	397	0.000%	99.983%
4970	蟋	395	0.000%	99.984%
4971	唁	394	0.000%	99.984%
4972	拮	394	0.000%	99.984%
4973	暝	394	0.000%	99.984%
4974	岿	392	0.000%	99.984%
4975	阕	392	0.000%	99.984%
4976	滁	391	0.000%	99.984%
4977	衢	391	0.000%	99.984%
4978	弁	390	0.000%	99.984%
4979	荇	390	0.000%	99.984%
4980	逶	389	0.000%	99.984%
4981	葆	388	0.000%	99.984%
4982	蚪	388	0.000%	99.984%
4983	喑	386	0.000%	99.984%
4984	蟀	386	0.000%	99.984%
4985	隍	386	0.000%	99.984%
4986	嘁	384	0.000%	99.984%
4987	糸	384	0.000%	99.984%
4988	茕	384	0.000%	99.984%
4989	埙	383	0.000%	99.984%
4990	獭	382	0.000%	99.984%
4991	觥	382	0.000%	99.984%
4992	晗	381	0.000%	99.984%
4993	蝌	380	0.000%	99.984%
4994	俚	379	0.000%	99.984%
4995	掴	379	0.000%	99.984%
4996	磔	379	0.000%	99.985%
4997	墒	378	0.000%	99.985%
4998	搽	378	0.000%	99.985%
4999	滦	377	0.000%	99.985%
5000	姘	376	0.000%	99.985%
5001	泅	376	0.000%	99.985%
5002	湎	375	0.000%	99.985%
5003	螫	375	0.000%	99.985%
5004	娩	374	0.000%	99.985%
5005	涝	373	0.000%	99.985%
5006	笮	373	0.000%	99.985%
5007	饬	373	0.000%	99.985%
5008	菅	372	0.000%	99.985%
5009	肱	371	0.000%	99.985%
5010	闰	371	0.000%	99.985%
5011	骞	370	0.000%	99.985%
5012	徕	368	0.000%	99.985%
5013	讫	366	0.000%	99.985%
5014	傈	363	0.000%	99.985%
5015	汞	363	0.000%	99.985%
5016	蓐	363	0.000%	99.985%
5017	徭	362	0.000%	99.985%
5018	鳝	361	0.000%	99.985%
5019	荟	360	0.000%	99.985%
5020	巯	359	0.000%	99.985%
5021	狎	358	0.000%	99.985%
5022	鲽	358	0.000%	99.985%
5023	璜	356	0.000%	99.985%
5024	铆	356	0.000%	99.986%
5025	剡	354	0.000%	99.986%
5026	猁	354	0.000%	99.986%
5027	柚	353	0.000%	99.986%
5028	耦	353	0.000%	99.986%
5029	逑	353	0.000%	99.986%
5030	捭	352	0.000%	99.986%
5031	脔	351	0.000%	99.986%
5032	汛	350	0.000%	99.986%
5033	哙	347	0.000%	99.986%
5034	铂	347	0.000%	99.986%
5035	挈	346	0.000%	99.986%
5036	绻	346	0.000%	99.986%
5037	跹	346	0.000%	99.986%
5038	琨	345	0.000%	99.986%
5039	铖	345	0.000%	99.986%
5040	炻	342	0.000%	99.986%
5041	珉	342	0.000%	99.986%
5042	癣	342	0.000%	99.986%
5043	颢	338	0.000%	99.986%
5044	裱	337	0.000%	99.986%
5045	蕤	336	0.000%	99.986%
5046	悱	335	0.000%	99.986%
5047	猞	335	0.000%	99.986%
5048	赅	334	0.000%	99.986%
5049	楹	333	0.000%	99.986%
5050	恚	332	0.000%	99.986%
5051	衽	332	0.000%	99.986%
5052	貘	331	0.000%	99.986%
5053	铢	331	0.000%	99.987%
5054	钎	330	0.000%	99.987%
5055	凼	328	0.000%	99.987%
5056	蜉	326	0.000%	99.987%
5057	粕	323	0.000%	99.987%
5058	钿	322	0.000%	99.987%
5059	涞	321	0.000%	99.987%
5060	雩	321	0.000%	99.987%
5061	鲫	321	0.000%	99.987%
5062	傩	320	0.000%	99.987%
5063	莳	320	0.000%	99.987%
5064	仄	319	0.000%	99.987%
5065	斛	317	0.000%	99.987%
5066	珙	317	0.000%	99.987%
5067	纥	317	0.000%	99.987%
5068	筅	315	0.000%	99.987%
5069	胰	315	0.000%	99.987%
5070	荜	315	0.000%	99.987%
5071	焘	314	0.000%	99.987%
5072	怄	313	0.000%	99.987%
5073	栎	313	0.000%	99.987%
5074	洌	313	0.000%	99.987%
5075	觜	313	0.000%	99.987%
5076	瘙	312	0.000%	99.987%
5077	蕲	312	0.000%	99.987%
5078	唿	311	0.000%	99.987%
5079	缳	311	0.000%	99.987%
5080	戕	310	0.000%	99.987%
5081	锝	310	0.000%	99.987%
5082	埂	309	0.000%	99.987%
5083	拊	309	0.000%	99.987%
5084	秆	308	0.000%	99.987%
5085	讦	308	0.000%	99.988%
5086	柑	307	0.000%	99.988%
5087	螈	306	0.000%	99.988%
5088	锌	306	0.000%	99.988%
5089	郗	304	0.000%	99.988%
5090	仵	303	0.000%	99.988%
5091	恽	303	0.000%	99.988%
5092	烊	303	0.000%	99.988%
5093	篁	302	0.000%	99.988%
5094	搴	301	0.000%	99.988%
5095	獍	301	0.000%	99.988%
5096	杷	300	0.000%	99.988%
5097	脍	300	0.000%	99.988%
5098	醴	300	0.000%	99.988%
5099	鹂	300	0.000%	99.988%
5100	孀	298	0.000%	99.988%
5101	邰	297	0.000%	99.988%
5102	郜	297	0.000%	99.988%
5103	纩	296	0.000%	99.988%
5104	骈	295	0.000%	99.988%
5105	堞	294	0.000%	99.988%
5106	鹬	294	0.000%	99.988%
5107	牝	293	0.000%	99.988%
5108	湟	292	0.000%	99.988%
5109	酃	292	0.000%	99.988%
5110	冼	290	0.000%	99.988%
5111	氦	290	0.000%	99.988%
5112	锒	289	0.000%	99.988%
5113	篾	288	0.000%	99.988%
5114	缦	288	0.000%	99.988%
5115	熨	287	0.000%	99.988%
5116	杌	286	0.000%	99.988%
5117	硌	283	0.000%	99.988%
5118	骝	283	0.000%	99.988%
5119	碣	282	0.000%	99.989%
5120	轾	282	0.000%	99.989%
5121	鏊	282	0.000%	99.989%
5122	覃	281	0.000%	99.989%
5123	虻	280	0.000%	99.989%
5124	膂	278	0.000%	99.989%
5125	咴	277	0.000%	99.989%
5126	缟	277	0.000%	99.989%
5127	偬	276	0.000%	99.989%
5128	暾	276	0.000%	99.989%
5129	窨	276	0.000%	99.989%
5130	鼐	276	0.000%	99.989%
5131	帏	275	0.000%	99.989%
5132	洮	275	0.000%	99.989%
5133	胱	275	0.000%	99.989%
5134	铉	275	0.000%	99.989%
5135	鲟	275	0.000%	99.989%
5136	泵	272	0.000%	99.989%
5137	竦	272	0.000%	99.989%
5138	虢	272	0.000%	99.989%
5139	椽	271	0.000%	99.989%
5140	韭	270	0.000%	99.989%
5141	佤	269	0.000%	99.989%
5142	帧	268	0.000%	99.989%
5143	蕨	268	0.000%	99.989%
5144	狯	266	0.000%	99.989%
5145	屐	264	0.000%	99.989%
5146	癯	264	0.000%	99.989%
5147	鳃	264	0.000%	99.989%
5148	苌	262	0.000%	99.989%
5149	侔	260	0.000%	99.989%
5150	腚	260	0.000%	99.989%
5151	腱	260	0.000%	99.989%
5152	圻	259	0.000%	99.989%
5153	灏	257	0.000%	99.989%
5154	痨	257	0.000%	99.989%
5155	眙	257	0.000%	99.989%
5156	竽	257	0.000%	99.989%
5157	缢	257	0.000%	99.990%
5158	辚	257	0.000%	99.990%
5159	髭	255	0.000%	99.990%
5160	尜	253	0.000%	99.990%
5161	趺	253	0.000%	99.990%
5162	茔	252	0.000%	99.990%
5163	蝰	252	0.000%	99.990%
5164	囹	251	0.000%	99.990%
5165	洇	251	0.000%	99.990%
5166	猱	251	0.000%	99.990%
5167	鼋	250	0.000%	99.990%
5168	芫	249	0.000%	99.990%
5169	赍	249	0.000%	99.990%
5170	宥	248	0.000%	99.990%
5171	樘	247	0.000%	99.990%
5172	睇	247	0.000%	99.990%
5173	酶	247	0.000%	99.990%
5174	墉	246	0.000%	99.990%
5175	嘌	245	0.000%	99.990%
5176	罅	245	0.000%	99.990%
5177	赡	245	0.000%	99.990%
5178	镊	245	0.000%	99.990%
5179	椴	244	0.000%	99.990%
5180	彀	243	0.000%	99.990%
5181	洹	243	0.000%	99.990%
5182	盱	243	0.000%	99.990%
5183	噻	242	0.000%	99.990%
5184	旄	242	0.000%	99.990%
5185	犍	242	0.000%	99.990%
5186	庹	241	0.000%	99.990%
5187	欹	240	0.000%	99.990%
5188	珥	240	0.000%	99.990%
5189	钙	240	0.000%	99.990%
5190	吡	239	0.000%	99.990%
5191	撄	239	0.000%	99.990%
5192	狃	239	0.000%	99.990%
5193	裢	239	0.000%	99.990%
5194	镙	239	0.000%	99.990%
5195	圩	238	0.000%	99.990%
5196	铬	238	0.000%	99.990%
5197	馐	238	0.000%	99.990%
5198	峄	237	0.000%	99.991%
5199	馏	237	0.000%	99.991%
5200	搠	236	0.000%	99.991%
5201	炔	236	0.000%	99.991%
5202	踟	236	0.000%	99.991%
5203	鼍	236	0.000%	99.991%
5204	仟	235	0.000%	99.991%
5205	鹌	235	0.000%	99.991%
5206	戡	234	0.000%	99.991%
5207	氯	234	0.000%	99.991%
5208	苫	234	0.000%	99.991%
5209	襦	233	0.000%	99.991%
5210	擀	232	0.000%	99.991%
5211	箴	232	0.000%	99.991%
5212	娈	231	0.000%	99.991%
5213	昃	230	0.000%	99.991%
5214	荛	230	0.000%	99.991%
5215	龈	230	0.000%	99.991%
5216	焖	229	0.000%	99.991%
5217	诤	229	0.000%	99.991%
5218	榛	228	0.000%	99.991%
5219	峤	227	0.000%	99.991%
5220	犰	227	0.000%	99.991%
5221	蟥	227	0.000%	99.991%
5222	蹼	227	0.000%	99.991%
5223	殳	226	0.000%	99.991%
5224	臬	225	0.000%	99.991%
5225	妣	224	0.000%	99.991%
5226	楫	224	0.000%	99.991%
5227	燹	224	0.000%	99.991%
5228	缱	224	0.000%	99.991%
5229	厣	223	0.000%	99.991%
5230	傣	222	0.000%	99.991%
5231	狁	222	0.000%	99.991%
5232	帔	220	0.000%	99.991%
5233	锰	220	0.000%	99.991%
5234	圄	219	0.000%	99.991%
5235	痢	219	0.000%	99.991%
5236	秸	219	0.000%	99.991%
5237	嵯	218	0.000%	99.991%
5238	樨	218	0.000%	99.991%
5239	纡	217	0.000%	99.991%
5240	澧	216	0.000%	99.991%
5241	畲	216	0.000%	99.991%
5242	瘐	216	0.000%	99.991%
5243	腭	216	0.000%	99.992%
5244	瓴	215	0.000%	99.992%
5245	蠹	215	0.000%	99.992%
5246	裣	215	0.000%	99.992%
5247	郓	215	0.000%	99.992%
5248	柞	214	0.000%	99.992%
5249	砦	214	0.000%	99.992%
5250	杼	213	0.000%	99.992%
5251	闼	213	0.000%	99.992%
5252	鞒	212	0.000%	99.992%
5253	纫	211	0.000%	99.992%
5254	芨	211	0.000%	99.992%
5255	蛉	210	0.000%	99.992%
5256	骐	210	0.000%	99.992%
5257	吖	209	0.000%	99.992%
5258	瘿	209	0.000%	99.992%
5259	笳	209	0.000%	99.992%
5260	郧	209	0.000%	99.992%
5261	黟	209	0.000%	99.992%
5262	舛	207	0.000%	99.992%
5263	钾	207	0.000%	99.992%
5264	憷	206	0.000%	99.992%
5265	稞	206	0.000%	99.992%
5266	颏	206	0.000%	99.992%
5267	佚	205	0.000%	99.992%
5268	苡	205	0.000%	99.992%
5269	勐	204	0.000%	99.992%
5270	淖	203	0.000%	99.992%
5271	澍	203	0.000%	99.992%
5272	铰	202	0.000%	99.992%
5273	茴	201	0.000%	99.992%
5274	褡	201	0.000%	99.992%
5275	诜	201	0.000%	99.992%
5276	薨	200	0.000%	99.992%
5277	濉	199	0.000%	99.992%
5278	檫	198	0.000%	99.992%
5279	郇	198	0.000%	99.992%
5280	骘	197	0.000%	99.992%
5281	凫	196	0.000%	99.992%
5282	鹗	196	0.000%	99.992%
5283	垭	195	0.000%	99.992%
5284	罨	193	0.000%	99.992%
5285	邗	193	0.000%	99.992%
5286	钯	193	0.000%	99.992%
5287	搦	192	0.000%	99.992%
5288	荠	192	0.000%	99.992%
5289	喁	191	0.000%	99.992%
5290	枋	191	0.000%	99.992%
5291	浔	191	0.000%	99.992%
5292	煸	191	0.000%	99.993%
5293	矽	191	0.000%	99.993%
5294	苕	191	0.000%	99.993%
5295	謇	191	0.000%	99.993%
5296	垓	190	0.000%	99.993%
5297	沔	190	0.000%	99.993%
5298	粑	190	0.000%	99.993%
5299	蝓	190	0.000%	99.993%
5300	躅	190	0.000%	99.993%
5301	锨	190	0.000%	99.993%
5302	瀣	189	0.000%	99.993%
5303	迓	188	0.000%	99.993%
5304	杓	187	0.000%	99.993%
5305	喈	186	0.000%	99.993%
5306	烷	186	0.000%	99.993%
5307	矾	185	0.000%	99.993%
5308	缁	185	0.000%	99.993%
5309	蜊	185	0.000%	99.993%
5310	陉	185	0.000%	99.993%
5311	堠	184	0.000%	99.993%
5312	鄯	184	0.000%	99.993%
5313	幛	183	0.000%	99.993%
5314	愀	183	0.000%	99.993%
5315	瓤	183	0.000%	99.993%
5316	蕈	183	0.000%	99.993%
5317	踯	183	0.000%	99.993%
5318	鲵	183	0.000%	99.993%
5319	丨	182	0.000%	99.993%
5320	刭	182	0.000%	99.993%
5321	濂	182	0.000%	99.993%
5322	怫	181	0.000%	99.993%
5323	罴	181	0.000%	99.993%
5324	坩	180	0.000%	99.993%
5325	焙	180	0.000%	99.993%
5326	摈	179	0.000%	99.993%
5327	氰	179	0.000%	99.993%
5328	渑	177	0.000%	99.993%
5329	疥	177	0.000%	99.993%
5330	肜	177	0.000%	99.993%
5331	厶	176	0.000%	99.993%
5332	氟	176	0.000%	99.993%
5333	鲰	176	0.000%	99.993%
5334	疟	174	0.000%	99.993%
5335	笫	174	0.000%	99.993%
5336	褰	174	0.000%	99.993%
5337	痼	173	0.000%	99.993%
5338	鲑	173	0.000%	99.993%
5339	黍	173	0.000%	99.993%
5340	沭	172	0.000%	99.993%
5341	缗	171	0.000%	99.993%
5342	菸	171	0.000%	99.993%
5343	悭	170	0.000%	99.993%
5344	疱	170	0.000%	99.993%
5345	衿	170	0.000%	99.993%
5346	氨	169	0.000%	99.993%
5347	艏	169	0.000%	99.993%
5348	裎	169	0.000%	99.994%
5349	孳	168	0.000%	99.994%
5350	庠	168	0.000%	99.994%
5351	旒	168	0.000%	99.994%
5352	栳	168	0.000%	99.994%
5353	茏	168	0.000%	99.994%
5354	阄	168	0.000%	99.994%
5355	亳	167	0.000%	99.994%
5356	卅	167	0.000%	99.994%
5357	媪	167	0.000%	99.994%
5358	艨	167	0.000%	99.994%
5359	邛	167	0.000%	99.994%
5360	麂	167	0.000%	99.994%
5361	尻	166	0.000%	99.994%
5362	樯	166	0.000%	99.994%
5363	豌	166	0.000%	99.994%
5364	踽	166	0.000%	99.994%
5365	鲈	166	0.000%	99.994%
5366	艄	165	0.000%	99.994%
5367	鲶	165	0.000%	99.994%
5368	眭	164	0.000%	99.994%
5369	陂	163	0.000%	99.994%
5370	榉	162	0.000%	99.994%
5371	氖	162	0.000%	99.994%
5372	笏	162	0.000%	99.994%
5373	廪	161	0.000%	99.994%
5374	怛	161	0.000%	99.994%
5375	蚍	161	0.000%	99.994%
5376	铙	161	0.000%	99.994%
5377	殍	160	0.000%	99.994%
5378	泶	160	0.000%	99.994%
5379	淝	160	0.000%	99.994%
5380	菘	160	0.000%	99.994%
5381	蒹	160	0.000%	99.994%
5382	忉	158	0.000%	99.994%
5383	桁	158	0.000%	99.994%
5384	疹	158	0.000%	99.994%
5385	蝣	158	0.000%	99.994%
5386	喱	157	0.000%	99.994%
5387	妊	157	0.000%	99.994%
5388	萑	157	0.000%	99.994%
5389	擘	156	0.000%	99.994%
5390	逋	156	0.000%	99.994%
5391	埚	155	0.000%	99.994%
5392	苒	155	0.000%	99.994%
5393	锗	155	0.000%	99.994%
5394	唢	153	0.000%	99.994%
5395	谰	153	0.000%	99.994%
5396	歙	152	0.000%	99.994%
5397	烯	152	0.000%	99.994%
5398	焯	152	0.000%	99.994%
5399	矬	152	0.000%	99.994%
5400	疽	151	0.000%	99.994%
5401	艟	151	0.000%	99.994%
5402	趸	151	0.000%	99.994%
5403	蹰	151	0.000%	99.994%
5404	眇	150	0.000%	99.994%
5405	荩	150	0.000%	99.994%
5406	縻	149	0.000%	99.994%
5407	亍	148	0.000%	99.994%
5408	佧	147	0.000%	99.994%
5409	叻	147	0.000%	99.994%
5410	箝	147	0.000%	99.994%
5411	趿	147	0.000%	99.994%
5412	勰	146	0.000%	99.995%
5413	嘏	146	0.000%	99.995%
5414	桫	144	0.000%	99.995%
5415	飨	144	0.000%	99.995%
5416	侪	143	0.000%	99.995%
5417	疴	143	0.000%	99.995%
5418	翥	143	0.000%	99.995%
5419	蚝	143	0.000%	99.995%
5420	鲠	143	0.000%	99.995%
5421	雎	142	0.000%	99.995%
5422	毂	141	0.000%	99.995%
5423	茑	141	0.000%	99.995%
5424	觚	141	0.000%	99.995%
5425	阋	141	0.000%	99.995%
5426	洄	140	0.000%	99.995%
5427	焓	140	0.000%	99.995%
5428	跗	140	0.000%	99.995%
5429	猗	139	0.000%	99.995%
5430	胺	139	0.000%	99.995%
5431	鹕	139	0.000%	99.995%
5432	笤	138	0.000%	99.995%
5433	跸	138	0.000%	99.995%
5434	狷	137	0.000%	99.995%
5435	钬	135	0.000%	99.995%
5436	镪	135	0.000%	99.995%
5437	馕	135	0.000%	99.995%
5438	疡	133	0.000%	99.995%
5439	篦	133	0.000%	99.995%
5440	鹈	133	0.000%	99.995%
5441	踅	132	0.000%	99.995%
5442	棼	131	0.000%	99.995%
5443	睾	131	0.000%	99.995%
5444	鹳	131	0.000%	99.995%
5445	漭	130	0.000%	99.995%
5446	烃	130	0.000%	99.995%
5447	瞽	130	0.000%	99.995%
5448	逄	130	0.000%	99.995%
5449	锍	130	0.000%	99.995%
5450	哚	129	0.000%	99.995%
5451	砬	129	0.000%	99.995%
5452	蝥	129	0.000%	99.995%
5453	钲	129	0.000%	99.995%
5454	陟	129	0.000%	99.995%
5455	泷	128	0.000%	99.995%
5456	耋	128	0.000%	99.995%
5457	酮	128	0.000%	99.995%
5458	塄	127	0.000%	99.995%
5459	痫	127	0.000%	99.995%
5460	蚧	127	0.000%	99.995%
5461	埘	126	0.000%	99.995%
5462	枸	126	0.000%	99.995%
5463	柢	126	0.000%	99.995%
5464	潆	126	0.000%	99.995%
5465	笄	126	0.000%	99.995%
5466	醮	126	0.000%	99.995%
5467	彖	125	0.000%	99.995%
5468	稗	125	0.000%	99.995%
5469	窠	125	0.000%	99.995%
5470	萘	125	0.000%	99.995%
5471	郯	125	0.000%	99.995%
5472	掮	124	0.000%	99.995%
5473	尢	123	0.000%	99.995%
5474	鲇	123	0.000%	99.995%
5475	鼙	123	0.000%	99.995%
5476	畦	122	0.000%	99.995%
5477	舸	122	0.000%	99.995%
5478	帑	121	0.000%	99.995%
5479	睃	121	0.000%	99.995%
5480	蚜	121	0.000%	99.995%
5481	溘	120	0.000%	99.995%
5482	蠃	120	0.000%	99.995%
5483	岢	119	0.000%	99.995%
5484	矸	119	0.000%	99.995%
5485	鸱	118	0.000%	99.995%
5486	狳	116	0.000%	99.995%
5487	祜	116	0.000%	99.995%
5488	囟	115	0.000%	99.995%
5489	扦	115	0.000%	99.995%
5490	枥	115	0.000%	99.996%
5491	庾	114	0.000%	99.996%
5492	菔	114	0.000%	99.996%
5493	蟛	114	0.000%	99.996%
5494	嗉	113	0.000%	99.996%
5495	擤	113	0.000%	99.996%
5496	莪	113	0.000%	99.996%
5497	觋	113	0.000%	99.996%
5498	醪	113	0.000%	99.996%
5499	倬	112	0.000%	99.996%
5500	爰	112	0.000%	99.996%
5501	蚰	112	0.000%	99.996%
5502	轳	112	0.000%	99.996%
5503	锱	112	0.000%	99.996%
5504	鬻	112	0.000%	99.996%
5505	鳏	112	0.000%	99.996%
5506	栲	111	0.000%	99.996%
5507	渌	111	0.000%	99.996%
5508	蛄	111	0.000%	99.996%
5509	嬗	110	0.000%	99.996%
5510	谘	110	0.000%	99.996%
5511	鋈	110	0.000%	99.996%
5512	阍	110	0.000%	99.996%
5513	杲	109	0.000%	99.996%
5514	柘	109	0.000%	99.996%
5515	毖	109	0.000%	99.996%
5516	禳	109	0.000%	99.996%
5517	馔	109	0.000%	99.996%
5518	鳐	109	0.000%	99.996%
5519	鳟	109	0.000%	99.996%
5520	耔	108	0.000%	99.996%
5521	辊	108	0.000%	99.996%
5522	镍	108	0.000%	99.996%
5523	侑	107	0.000%	99.996%
5524	娠	107	0.000%	99.996%
5525	槎	107	0.000%	99.996%
5526	芾	107	0.000%	99.996%
5527	豳	107	0.000%	99.996%
5528	钤	107	0.000%	99.996%
5529	锕	107	0.000%	99.996%
5530	孥	106	0.000%	99.996%
5531	綦	106	0.000%	99.996%
5532	锑	106	0.000%	99.996%
5533	洙	105	0.000%	99.996%
5534	榫	104	0.000%	99.996%
5535	疣	104	0.000%	99.996%
5536	砭	104	0.000%	99.996%
5537	筮	104	0.000%	99.996%
5538	酽	104	0.000%	99.996%
5539	愆	103	0.000%	99.996%
5540	栀	103	0.000%	99.996%
5541	耪	103	0.000%	99.996%
5542	薅	103	0.000%	99.996%
5543	蜞	103	0.000%	99.996%
5544	崤	102	0.000%	99.996%
5545	椟	102	0.000%	99.996%
5546	糁	102	0.000%	99.996%
5547	茇	102	0.000%	99.996%
5548	啁	101	0.000%	99.996%
5549	氪	101	0.000%	99.996%
5550	萁	101	0.000%	99.996%
5551	龃	101	0.000%	99.996%
5552	墀	100	0.000%	99.996%
5553	碘	100	0.000%	99.996%
5554	芪	100	0.000%	99.996%
5555	莰	100	0.000%	99.996%
5556	菏	100	0.000%	99.996%
5557	嵊	99	0.000%	99.996%
5558	蛩	99	0.000%	99.996%
5559	鞯	99	0.000%	99.996%
5560	楂	98	0.000%	99.996%
5561	缒	98	0.000%	99.996%
5562	饣	98	0.000%	99.996%
5563	乩	97	0.000%	99.996%
5564	捌	97	0.000%	99.996%
5565	毽	97	0.000%	99.996%
5566	愍	96	0.000%	99.996%
5567	瘢	96	0.000%	99.996%
5568	铋	96	0.000%	99.996%
5569	铧	96	0.000%	99.996%
5570	髋	96	0.000%	99.996%
5571	鹚	96	0.000%	99.996%
5572	儋	95	0.000%	99.996%
5573	奁	95	0.000%	99.996%
5574	樾	95	0.000%	99.996%
5575	滹	95	0.000%	99.996%
5576	穑	95	0.000%	99.996%
5577	茌	95	0.000%	99.996%
5578	骶	95	0.000%	99.996%
5579	刖	94	0.000%	99.996%
5580	嫜	94	0.000%	99.996%
5581	溏	94	0.000%	99.996%
5582	螽	94	0.000%	99.996%
5583	囝	93	0.000%	99.996%
5584	戽	93	0.000%	99.996%
5585	橛	93	0.000%	99.996%
5586	舂	93	0.000%	99.996%
5587	遄	93	0.000%	99.997%
5588	坭	92	0.000%	99.997%
5589	澶	92	0.000%	99.997%
5590	熵	92	0.000%	99.997%
5591	镬	92	0.000%	99.997%
5592	飧	92	0.000%	99.997%
5593	枞	91	0.000%	99.997%
5594	柙	91	0.000%	99.997%
5595	硎	91	0.000%	99.997%
5596	缯	91	0.000%	99.997%
5597	蔌	91	0.000%	99.997%
5598	鲂	91	0.000%	99.997%
5599	冱	90	0.000%	99.997%
5600	岙	90	0.000%	99.997%
5601	殂	90	0.000%	99.997%
5602	艉	90	0.000%	99.997%
5603	蠼	90	0.000%	99.997%
5604	匏	89	0.000%	99.997%
5605	痈	89	0.000%	99.997%
5606	鹾	89	0.000%	99.997%
5607	尕	88	0.000%	99.997%
5608	攮	88	0.000%	99.997%
5609	樗	88	0.000%	99.997%
5610	皲	88	0.000%	99.997%
5611	髡	88	0.000%	99.997%
5612	坻	87	0.000%	99.997%
5613	伧	86	0.000%	99.997%
5614	剀	86	0.000%	99.997%
5615	椐	86	0.000%	99.997%
5616	瓠	86	0.000%	99.997%
5617	讣	86	0.000%	99.997%
5618	髁	86	0.000%	99.997%
5619	龉	86	0.000%	99.997%
5620	彘	85	0.000%	99.997%
5621	棹	85	0.000%	99.997%
5622	疠	85	0.000%	99.997%
5623	薮	85	0.000%	99.997%
5624	隈	85	0.000%	99.997%
5625	龋	85	0.000%	99.997%
5626	朐	84	0.000%	99.997%
5627	橼	84	0.000%	99.997%
5628	芰	84	0.000%	99.997%
5629	圹	83	0.000%	99.997%
5630	敉	83	0.000%	99.997%
5631	暌	83	0.000%	99.997%
5632	饧	83	0.000%	99.997%
5633	泔	82	0.000%	99.997%
5634	赜	82	0.000%	99.997%
5635	黧	82	0.000%	99.997%
5636	筚	81	0.000%	99.997%
5637	蓖	81	0.000%	99.997%
5638	鸬	81	0.000%	99.997%
5639	蚬	80	0.000%	99.997%
5640	醯	80	0.000%	99.997%
5641	钪	80	0.000%	99.997%
5642	餍	80	0.000%	99.997%
5643	鸹	80	0.000%	99.997%
5644	哏	79	0.000%	99.997%
5645	甑	79	0.000%	99.997%
5646	疋	79	0.000%	99.997%
5647	膣	79	0.000%	99.997%
5648	螅	79	0.000%	99.997%
5649	锞	79	0.000%	99.997%
5650	髫	79	0.000%	99.997%
5651	宄	78	0.000%	99.997%
5652	摭	78	0.000%	99.997%
5653	檠	78	0.000%	99.997%
5654	盍	78	0.000%	99.997%
5655	绂	78	0.000%	99.997%
5656	骟	78	0.000%	99.997%
5657	棰	77	0.000%	99.997%
5658	缡	77	0.000%	99.997%
5659	苷	77	0.000%	99.997%
5660	蹁	77	0.000%	99.997%
5661	铗	77	0.000%	99.997%
5662	鞣	77	0.000%	99.997%
5663	圯	76	0.000%	99.997%
5664	涑	76	0.000%	99.997%
5665	箜	76	0.000%	99.997%
5666	芎	76	0.000%	99.997%
5667	蔟	76	0.000%	99.997%
5668	觯	76	0.000%	99.997%
5669	鍪	76	0.000%	99.997%
5670	镟	76	0.000%	99.997%
5671	夤	75	0.000%	99.997%
5672	妫	75	0.000%	99.997%
5673	熘	75	0.000%	99.997%
5674	硼	75	0.000%	99.997%
5675	秫	75	0.000%	99.997%
5676	阏	75	0.000%	99.997%
5677	飑	75	0.000%	99.997%
5678	啭	74	0.000%	99.997%
5679	枳	74	0.000%	99.997%
5680	礅	74	0.000%	99.997%
5681	耨	74	0.000%	99.997%
5682	茭	74	0.000%	99.997%
5683	钡	74	0.000%	99.997%
5684	捩	73	0.000%	99.997%
5685	柁	73	0.000%	99.997%
5686	甯	73	0.000%	99.997%
5687	苴	73	0.000%	99.997%
5688	铊	73	0.000%	99.997%
5689	寤	72	0.000%	99.997%
5690	潍	72	0.000%	99.997%
5691	牖	72	0.000%	99.997%
5692	赀	72	0.000%	99.997%
