词语	频次
关于	330
后来	330
实施	330
眼	330
至	330
艺术	329
开展	327
决定	326
内容	324
喜欢	324
早	323
目前	323
另	322
代表	321
意识	321
近	321
实践	320
母亲	320
那些	320
产业	318
教学	317
各种	316
推动	316
路	316
人类	315
不过	314
成功	314
比较	314
使用	313
稳定	313
全面	312
女	311
非	311
书	310
产品	310
爱	310
生产	310
根据	309
进一步	309
女人	308
讲	308
重大	308
告诉	307
下来	304
以后	303
健康	302
希望	302
有些	302
项目	302
不仅	301
参加	301
王	301
请	301
更加	299
米	298
于是	296
干	296
片	296
眼睛	296
获得	296
表现	296
为什么	295
任何	295
会议	295
副	295
因	295
场	295
如何	295
模式	295
部分	295
医疗	294
花	294
低	293
任务	291
作	291
准备	291
完全	291
机构	291
重点	291
支持	290
增加	289
感觉	289
身体	289
十分	287
家庭	286
领域	286
一切	285
合作	285
朋友	285
共同	284
能源	283
当然	282
心理	282
计划	282
强	281
旅游	281
规定	281
保护	280
子	280
行政	279
原因	278
20	277
单位	277
发	276
进入	276
中心	275
脸	275
‘	274
了解	274
充分	274
可是	274
处理	274
直接	274
工程	273
往	273
未	273
面	273
’	272
委员会	272
完	272
年代	272
数学	272
机制	271
来说	271
社会主义	271
中央	270
取得	270
段	270
些	269
困难	269
分	268
个人	267
事业	267
既	267
物质	266
时期	265
现代	265
似乎	263
参与	263
声音	263
物	263
表示	263
日	262
法律	262
令	261
类	260
落实	260
块	259
随着	259
发挥	258
神	258
5	257
今年	257
方向	257
网	256
群众	256
培养	255
越	255
首	255
全	254
具体	254
按照	254
穿	254
而是	253
专业	252
只有	252
完成	252
跑	252
达到	252
经过	250
身	249
入	248
教	247
农民	246
加快	246
妈妈	246
根本	246
别	245
无法	245
特征	243
容易	242
注意	241
需求	241
项	241
教师	240
语言	240
概念	239
以上	238
价值	238
关注	238
力量	238
实际	238
接受	238
故事	238
4	237
字	237
送	237
代	234
整个	234
西方	234
;	233
有效	233
经	233
2009年	232
成立	232
同志	231
如此	231
标准	231
全球	230
层	230
就业	229
干部	229
形式	229
规划	229
音乐	229
市	228
生命	228
结合	228
仍	225
完善	225
气候	225
真正	225
设计	225
热	224
空间	224
只是	223
简单	223
越来越	223
倒	222
它们	222
深入	222
统一	222
事件	221
信	221
儿子	221
因素	221
开放	221
调整	221
重	221
功能	220
区	220
学术	220
按	220
一边	219
学者	219
座	219
措施	219
现实	219
理解	219
之一	218
喝	218
届	218
权	218
电话	218
风	218
山	217
人才	216
国内	216
心里	216
经验	216
拉	215
满	215
程度	215
算	215
调查	215
除了	215
机会	214
线	214
责任	214
金	214
阶段	214
体现	213
儿	213
搞	213
敢	213
省	213
第三	213
边	213
只要	212
方	212
模型	212
男人	212
转	212
原则	211
受到	211
报告	211
肯定	211
观众	211
以来	210
保	209
常	209
日本	209
深	209
行动	209
几乎	208
战略	208
明显	208
李	208
仅	207
感到	207
刚	206
别人	206
多少	206
小时	206
状态	206
离开	206
面对	206
利益	205
报道	205
清	205
白	205
复杂	204
革命	204
!	203
掉	203
收入	203
步	203
信仰	202
减	202
地位	202
帮	202
应当	202
首先	202
之前	200
光	200
办法	200
号	200
尤其	200
帮助	200
微	200
食物	200
回来	199
改变	199
是否	199
汽车	199
终于	199
远	199
想到	198
扩大	198
章	198
落	198
增强	197
资金	196
达	196
某	195
脚	195
记者	195
10	194
占	194
双	194
文学	194
满足	194
转变	194
造成	194
农民工	193
刘	193
接	193
职业	193
未来	192
带来	191
每天	191
然而	191
经常	191
运动	191
严重	190
主义	190
人生	190
体制	190
导致	190
核心	190
说话	190
黑	190
身上	189
[	188
介绍	188
份	188
大量	188
相信	188
红	188
同学	187
老板	187
考虑	187
里面	187
价格	186
体育	186
文明	186
福利	186
负责	186
过来	186
酒	186
飞	186
全部	185
创造	185
指导	185
消费	185
道德	185
土壤	184
数	184
联系	184
关键	183
台	183
正是	183
相对	183
系	183
靠	183
不少	182
六	182
怕	182
教授	182
特色	182
解	182
证明	182
构成	181
谈	181
2008年	180
何	180
作出	180
巨大	180
当前	180
科技	180
高度	180
专家	179
卖	179
城	179
感	179
清楚	179
八	178
名字	178
材料	178
现象	178
初	177
区域	177
医生	177
同样	177
并且	177
找到	177
来自	177
碳	177
约	177
共	176
型	176
定	176
病	176
目的	176
.	175
伟大	175
家里	175
局	175
看见	175
贸易	175
动	174
及时	174
反映	174
基于	174
安排	174
尽管	174
曾经	174
离	174
称	174
竿	174
]	173
周	173
基层	173
批	173
活	173
管	173
自我	173
超过	173
县	172
权利	172
每个	172
任	171
和谐	171
开发	171
形势	171
有人	171
村民	171
解释	171
读	171
不要	170
居民	170
年轻	170
节	170
队	170
办	169
另外	169
始终	169
式	169
效果	169
新闻	169
明确	169
范围	169
极	168
符合	168
队伍	168
人口	167
采用	167
错	167
30	166
仍然	166
加	166
根	166
胡锦涛	166
优势	165
体	165
分钟	165
青年	165
回答	164
媒体	164
朝	164
看来	164
突出	164
舞蹈	164
马	164
广泛	163
抓	163
指出	163
说明	163
也许	162
分别	162
包	162
套	162
左右	162
引起	162
强调	162
持续	162
来到	162
杨	162
认真	162
那里	162
以下	161
原来	161
森林	161
面前	161
呀	160
哲学	160
有的	160
林	160
比如	160
特点	160
知	160
篇	160
采取	160
明白	159
现场	159
意见	158
拥有	158
交流	157
最终	157
望	157
植物	157
生态	157
讨论	157
贯彻	157
长期	157
制定	156
哪	156
团	156
狗	156
留	156
睡	156
自身	156
资料	156
军	155
创作	155
双方	155
回到	155
底	155
民间	155
脸上	155
适应	155
通	155
重视	155
图	154
均	154
工业	154
度	154
总是	154
所谓	154
修复	153
冲	153
各国	153
拍	153
村	153
衣服	153
销售	153
6	152
且	152
主席	152
保证	152
只能	152
处于	152
余	151
佛教	151
减少	151
成绩	151
提	151
期间	151
纹理	151
角度	151
这时	151
逐渐	151
下去	150
以前	150
会计	150
即使	150
树	150
看看	150
观念	150
课程	150
跳	150
好像	149
平衡	149
意思	149
毕业	149
生存	149
背景	149
论	149
手段	148
换	148
晚上	148
污染	148
直	148
评价	148
身边	148
作品	147
充满	147
办公室	147
正常	147
经营	147
面临	147
七	146
亦	146
力	146
在于	146
态度	146
成本	146
毛泽东	146
涉及	146
遗产	146
农业	145
变成	145
建议	145
普通	145
父母	145
设备	145
集团	145
业务	144
以为	144
卫生	144
怎样	144
比赛	144
短	144
经历	144
行业	144
量	144
丈夫	143
人物	143
刀	143
原	143
对方	143
忙	143
画	143
那样	143
陈	143
宣传	142
当年	142
成就	142
投入	142
挑战	142
相互	142
良好	142
公共	141
综合	141
贡献	141
占有	140
属于	140
床	140
改善	140
杀	140
节能	140
词	140
人家	139
停	139
全省	139
出版	139
期	139
表达	139
规范	139
交通	138
兴趣	138
哪里	138
支	138
/	137
协调	137
有着	137
楼	137
爸爸	137
自由	137
般	137
血	137
集中	137
妈	136
妻子	136
应急	136
提升	136
监督	136
老人	136
若	136
迅速	136
不能	135
医院	135
压力	135
反	135
往往	135
据	135
本身	135
求	135
留下	135
股	135
选举	135
上面	134
主题	134
从而	134
女儿	134
文	134
普遍	134
演出	134
生物	134
运行	134
差	133
报	133
死亡	133
相当	133
确定	133
藏	133
再次	132
发出	132
小说	132
招	132
文章	132
火	132
难以	132
青	132
慢慢	131
显然	131
检查	131
目光	131
英国	131
久	130
建	130
必要	130
恢复	130
掌握	130
晚	130
调	130
进步	130
银行	130
主动	129
她们	129
实际上	129
正在	129
犯罪	129
速度	129
万	128
习惯	128
依据	128
大会	128
毕业生	128
玩	128
维护	128
不知	127
世	127
大师	127
广东	127
引	127
形象	127
情绪	127
愿意	127
手机	127
照片	127
相应	127
系列	127
表明	127
追求	127
需	127
兄弟	126
动作	126
土	126
培训	126
夜	126
对象	126
流	126
竟然	126
结束	126
背	126
菜	126
著名	126
距离	126
郭	126
内部	125
定义	125
成果	125
打开	125
显得	125
电脑	125
群	125
论坛	125
设施	125
贷款	125
身份	125
道路	125
位置	124
改	124
日子	124
游戏	124
虽	124
不可	123
养	123
刚刚	123
大学生	123
尽	123
情	123
机关	123
永远	123
男	123
等等	123
绝对	123
船	123
财政	123
仿佛	122
传播	122
依法	122
实在	122
幸福	122
房间	122
此时	122
重新	122
高校	122
不再	121
决策	121
方案	121
申报	121
确实	121
计算	121
依然	120
信息化	120
值	120
劳动	120
哭	120
基督教	120
独立	120
观点	120
香港	120
丰富	119
具备	119
国务院	119
圈	119
心情	119
枪	119
科研	119
网站	119
专门	118
南	118
古	118
地上	118
地下	118
如今	118
学位	118
宝宝	118
很快	118
样子	118
消息	118
生涯	118
直到	118
眼前	118
西	118
风险	118
鱼	118
冷	117
出口	117
取	117
员工	117
巴	117
易	117
歌	117
用于	117
美元	117
而言	117
规模	117
高兴	117
8	116
刚才	116
年龄	116
心中	116
性质	116
成员	116
政党	116
梦	116
结婚	116
随	116
事实	115
修	115
制	115
加大	115
常常	115
显示	115
有时	115
洗	115
鼓励	115
书记	114
优秀	114
关	114
合理	114
女子	114
感受	114
抱	114
民主	114
漂亮	114
百	114
监狱	114
矛盾	114
色	114
记得	114
语	114
判断	113
发布	113
各地	113
建筑	113
校长	113
研发	113
营养	113
遇到	113
限制	113
食	113
之中	112
互联网	112
出生	112
愿	112
无论	112
针对	112
一阵	111
乱	111
借	111
军事	111
创业	111
北	111
台湾	111
响	111
大力	111
实行	111
快速	111
房	111
执行	111
探索	111
深刻	111
角色	111
香	111
-	110
养生	110
召开	110
某种	110
特殊	110
状况	110
真实	110
竟	110
那时	110
饭	110
不好	109
制作	109
平	109
弄	109
弟弟	109
思考	109
断	109
旧	109
深化	109
澳门	109
理想	109
称为	109
给予	109
群体	109
联合	109
言	109
到底	108
味	108
喊	108
围绕	108
推	108
智能	108
正确	108
派	108
笔	108
进程	108
追	108
80	107
下午	107
使得	107
啦	107
城乡	107
女孩	107
担心	107
挂	107
熟悉	107
从来	106
出去	106
力度	106
厅	106
发展观	106
姐姐	106
山寨	106
本来	106
案件	106
申请	106
记	106
适合	106
饮食	106
主	105
后面	105
听到	105
失去	105
工具	105
平台	105
戏	105
紧	105
级	105
选	105
逐步	105
优化	104
史	104
听说	104
唱	104
局长	104
引导	104
强烈	104
房子	104
电网	104
秘密	104
规则	104
通常	104
一生	103
下降	103
不管	103
东北	103
乐	103
交换	103
加上	103
团结	103
地球	103
意	103
把握	103
疾病	103
缺乏	103
舞台	103
辆	103
顿	103
下面	102
严格	102
主体	102
九	102
云	102
例如	102
做出	102
平稳	102
收	102
文字	102
训练	102
运用	102
享受	101
伤	101
信心	101
内心	101
压	101
吃饭	101
审核	101
总书记	101
总理	101
端	101
翻	101
药	101
诗歌	101
连续	101
食品	101
上述	100
举行	100
义务	100
具	100
含	100
周围	100
周恩来	100
嘴	100
回家	100
广大	100
旅行社	100
最高	100
动物	99
反应	99
各个	99
周年	99
唯一	99
寻找	99
志	99
快乐	99
有点	99
正式	99
法规	99
细胞	99
9月	98
切实	98
娘	98
市民	98
师	98
年轻人	98
当地	98
电	98
纸	98
职工	98
自主	98
避免	98
问道	98
主持人	97
从事	97
制造	97
吓	97
大型	97
微微	97
比亚迪	97
爱情	97
确保	97
祖国	97
程序	97
立刻	97
竞争	97
第四	97
素质	97
肉	97
胜利	97
至少	97
赵本山	97
轻	97
除	97
50	96
事故	96
交	96
传	96
兴奋	96
少数民族	96
改造	96
民生	96
渐渐	96
班	96
立	96
组成	96
规律	96
趋势	96
阳光	96
顶	96
鹤宁	96
吸引	95
多种	95
承担	95
法国	95
牛	95
经理	95
联网	95
腿	95
表	95
诗	95
读书	95
亲	94
刺激	94
回去	94
学科	94
实	94
懂	94
灵魂	94
电力	94
皮肤	94
结	94
节目	94
运	94
通知	94
东	93
中学	93
似	93
印度	93
危险	93
命	93
城镇	93
复兴	93
工会	93
平均	93
用户	93
电子	93
红色	93
美丽	93
蔬菜	93
装	93
软	93
隐私	93
不足	92
之外	92
千	92
忽然	92
总体	92
杯	92
石	92
英语	92
还要	92
降低	92
黄	92
中国共产党	91
仅仅	91
做到	91
关心	91
各项	91
够	91
布	91
执政	91
挺	91
整体	91
最近	91
某些	91
欧洲	91
残疾人	91
湿	91
现代化	91
绿色	91
集体	91
一致	90
亮	90
值得	90
先进	90
兔	90
发表	90
层次	90
必然	90
承认	90
案	90
水资源	90
相比	90
破	90
第	90
统计	90
遍	90
100	89
6月	89
一会儿	89
专项	89
二十	89
加入	89
另一方面	89
合	89
嘛	89
土地	89
女性	89
女生	89
惊	89
教材	89
机器	89
每年	89
毕竟	89
治	89
独特	89
理念	89
立即	89
一时	88
作者	88
分布	88
原始	88
及其	88
各级	88
同意	88
唐	88
小姐	88
工	88
想法	88
意外	88
效率	88
数量	88
界	88
空	88
茶	88
见到	88
阿	88
鸡	88
60	87
主张	87
做好	87
准确	87
化学	87
控	87
民	87
率	87
直升机	87
表情	87
贴	87
骨	87
不错	86
主任	86
他人	86
克	86
冲击	86
凶手	86
功效	86
学院	86
并非	86
战争	86
推广	86
明	86
有所	86
监管	86
着力	86
纳米	86
结论	86
联合国	86
质	86
部队	86
陪	86
丝	85
健身	85
先后	85
前面	85
区别	85
厂	85
基金	85
客观	85
封	85
属性	85
思维	85
成长	85
描述	85
无人机	85
毛	85
江	85
流行	85
烧	85
痛	85
舆情	85
观察	85
论文	85
难道	85
伦理	84
作业	84
俩	84
健全	84
共享	84
单	84
层面	84
既然	84
时刻	84
框架	84
灰	84
照	84
税务	84
罗	84
美好	84
考察	84
脑袋	84
购买	84
院	84
颗	84
义	83
价值观	83
保险	83
倍	83
各自	83
商业	83
平时	83
店	83
强化	83
心灵	83
数字	83
方程	83
比例	83
沭阳	83
海	83
超	83
铁	83
7	82
一方面	82
临床	82
大小	82
待	82
想起	82
感情	82
或许	82
接触	82
摆	82
收藏	82
无数	82
洞	82
爬	82
环节	82
理由	82
盆	82
相同	82
究竟	82
突破	82
表演	82
轮	82
雪	82
10月	81
~	81
人体	81
卷	81
发达国家	81
墙	81
委	81
客户	81
怀疑	81
成分	81
摸	81
日常	81
木	81
本质	81
查	81
现	81
省委	81
紧紧	81
药物	81
轻轻	81
透	81
那天	81
错误	81
闭	81
风格	81
200	80
中间	80
主管	80
乡	80
亚洲	80
人数	80
全球化	80
内需	80
包含	80
咱们	80
啥	80
回头	80
地震	80
坏	80
外面	80
家乡	80
急	80
总结	80
情感	80
意味着	80
手里	80
权力	80
欲	80
此外	80
狼	80
神秘	80
空气	80
维生素	80
试点	80
2005年	79
中华民族	79
分类	79
只好	79
各类	79
否则	79
哦	79
委员	79
宽	79
归	79
报纸	79
抬	79
放弃	79
整	79
毒	79
泡	79
注重	79
消失	79
深圳	79
穷	79
至于	79
蒋	79
费用	79
资本	79
赵	79
进来	79
镇	79
～	79
上帝	78
举办	78
从此	78
动力	78
吹	78
官	78
居然	78
戏曲	78
真是	78
类似	78
补	78
说道	78
躺	78
转移	78
途径	78
那种	78
隔	78
雨	78
领导人	78
鬼	78
公民	77
太阳	77
奇怪	77
强大	77
当代	77
恶	77
拒绝	77
摇	77
智慧	77
架	77
河	77
电视	77
领	77
上午	76
光辉	76
办理	76
命运	76
国外	76
好好	76
实力	76
形	76
德	76
搭	76
散	76
无疑	76
本文	76
极大	76
盖	76
紧张	76
组	76
经典	76
药性	76
街	76
解放	76
警察	76
讲话	76
诸多	76
课	76
阴阳	76
颜色	76
个体	75
为主	75
人大	75
假	75
十几	75
叶	75
商	75
大多数	75
大部分	75
属	75
忘	75
总统	75
抓住	75
探讨	75
有限	75
机遇	75
猪	75
理	75
男子	75
精	75
苦	75
营销	75
进去	75
部署	75
马上	75
不但	74
主持	74
事物	74
互动	74
什么样	74
作风	74
分配	74
天空	74
如同	74
室	74
尊重	74
救	74
晒	74
海迪	74
版	74
电池	74
百度	74
西安	74
评估	74
足	74
配合	74
锻炼	74
集	74
15	73
2009	73
一旦	73
中华人民共和国	73
人士	73
供	73
回忆	73
奥运会	73
姑娘	73
宏观	73
尸体	73
工人	73
怪	73
构建	73
猫	73
痛苦	73
税收	73
算是	73
舞	73
诉讼	73
防止	73
颇	73
飞机	73
飞艇	73
骂	73
中华	72
今	72
估计	72
似的	72
佛	72
呈现	72
因而	72
担任	72
排放	72
效应	72
机	72
泰国	72
的确	72
盘	72
礼	72
科	72
纷纷	72
象征	72
身后	72
遥感	72
配	72
附近	72
面子	72
马云	72
90	71
作家	71
公众	71
公开	71
公约	71
古代	71
合适	71
吸收	71
四川	71
大概	71
婚礼	71
完整	71
宽容	71
抄袭	71
接着	71
有利于	71
水泥	71
流动	71
演员	71
澳大利亚	71
脾脏	71
记忆	71
这儿	71
这次	71
适当	71
醒	71
龙	71
－	71
11月	70
8月	70
上班	70
业	70
传来	70
公布	70
加以	70
听见	70
命令	70
哥哥	70
商品	70
坚决	70
如下	70
安	70
实验	70
寿命	70
彻底	70
成熟	70
我省	70
拔	70
挑	70
新鲜	70
方便	70
明天	70
照顾	70
环保	70
种子	70
累	70
落后	70
设	70
设立	70
试验	70
邀请	70
1.	69
仇	69
仪式	69
内涵	69
原本	69
吨	69
坚定	69
家族	69
密切	69
尽量	69
戏剧	69
推出	69
支撑	69
整合	69
斗争	69
正好	69
皮	69
种种	69
笑容	69
策略	69
类型	69
虎	69
覆盖	69
角	69
试图	69
资产	69
进展	69
9	68
举措	68
互相	68
人群	68
博弈	68
反复	68
反而	68
呆	68
呈	68
大约	68
奋斗	68
工资	68
左	68
打算	68
按摩	68
救援	68
文件	68
旁边	68
明年	68
有机	68
权益	68
水果	68
沉默	68
清晰	68
满意	68
热情	68
物理	68
特	68
生育	68
翻译	68
老婆	68
财务	68
造	68
铁路	68
露出	68
12	67
5月	67
主观	67
予以	67
众人	67
传说	67
偏	67
几十	67
出发	67
利	67
十七	67
发电	67
启动	67
咱	67
嗯	67
守	67
屋	67
展开	67
手中	67
指挥	67
据说	67
政协	67
日益	67
星	67
欧盟	67
毕	67
治疗	67
法师	67
游	67
生长	67
细	67
罗晓峰	67
蓝	67
认同	67
说法	67
路上	67
逃	67
采访	67
12月	66
1月	66
2.	66
2006年	66
2007年	66
A	66
上升	66
中医	66
乡镇	66
公	66
内在	66
军队	66
博物馆	66
发展中国家	66
境内	66
大大	66
天津	66
奖	66
对手	66
小组	66
局面	66
想象	66
承诺	66
普	66
校	66
滴	66
现状	66
理性	66
盐	66
硬盘	66
等待	66
绝	66
网上	66
腰	66
蛇	66
记录	66
近年来	66
高效	66
不久	65
不得	65
中国队	65
依靠	65
典型	65
凭	65
升	65
哥	65
外国	65
外部	65
姓	65
峰会	65
差异	65
广告	65
微笑	65
持	65
改进	65
烟	65
特性	65
病人	65
秩序	65
罗飞	65
详细	65
阴	65
青少年	65
一路	64
不得不	64
举	64
仔细	64
众多	64
例	64
公路	64
关税	64
可见	64
合同	64
同事	64
失	64
威胁	64
引发	64
戴	64
操作	64
期待	64
机场	64
欢迎	64
此次	64
气象	64
润	64
胡	64
英	64
草	64
读者	64
课题	64
较为	64
门口	64
阿里巴巴	64
韩国	64
之所以	63
事实上	63
交易	63
众	63
分为	63
制约	63
剩下	63
发达	63
地面	63
害怕	63
富	63
履行	63
当中	63
愣	63
插	63
新型	63
梁启超	63
研制	63
繁荣	63
纳税	63
绿	63
英雄	63
虚假	63
补充	63
走向	63
龟	63
．	63
60年	62
一番	62
世锦赛	62
么	62
作战	62
党组织	62
加工	62
印象	62
味道	62
图像	62
大众	62
天地	62
头发	62
存	62
客	62
小学	62
尝试	62
居	62
幸雄	62
德国	62
感动	62
执法	62
提取	62
板	62
标志	62
格局	62
模拟	62
没什么	62
油	62
深深	62
王传福	62
球	62
男孩	62
碗	62
美学	62
背后	62
至今	62
视	62
话题	62
长度	62
随后	62
之类	61
做法	61
出台	61
剧院	61
变革	61
喂	61
国内外	61
尚	61
差不多	61
广	61
应对	61
忘记	61
性格	61
恐怕	61
抢	61
换道	61
接近	61
搬	61
敏感	61
显著	61
暗	61
框	61
治理	61
生意	61
盯	61
粗	61
紧密	61
继承	61
老子	61
考	61
股权	61
英文	61
著作	61
赶	61
4月	60
一下子	60
严峻	60
也就是说	60
争取	60
亚	60
伸	60
初步	60
博士	60
去年	60
咨询	60
咬	60
坯	60
大声	60
妖怪	60
官员	60
宣布	60
对话	60
尔	60
平静	60
所在	60
斤	60
梦想	60
欧	60
气体	60
激动	60
热烈	60
睁	60
破坏	60
祖父	60
粮食	60
获取	60
表面	60
观	60
超越	60
违法	60
部长	60
顺利	60
不够	59
不必	59
人类学	59
党员	59
取向	59
各位	59
善	59
团队	59
堆	59
天气	59
客人	59
居住	59
展示	59
损失	59
文革	59
案例	59
民众	59
略	59
皆	59
统筹	59
美容	59
色彩	59
补偿	59
视为	59
转让	59
道理	59
面积	59
高等教育	59
3月	58
40	58
两会	58
中药	58
休息	58
侧	58
兼	58
冒	58
决心	58
出席	58
周立波	58
和平	58
基地	58
多次	58
夫妻	58
姑姑	58
宜	58
导演	58
山东	58
岗位	58
干净	58
座位	58
异	58
异常	58
思路	58
支付	58
故	58
最佳	58
杀人	58
权威	58
活力	58
灵	58
犯人	58
登记	58
眼神	58
纤维	58
肚子	58
融合	58
译	58
试	58
豆腐	58
贵	58
足够	58
防	58
2004年	57
21	57
3.	57
之下	57
之际	57
全世界	57
兵	57
再生	57
冠军	57
切	57
十一	57
各族	57
含有	57
复	57
带动	57
带有	57
情报	57
早已	57
果然	57
江南	57
海外	57
清醒	57
湖南	57
登	57
硬	57
缺	57
考试	57
考验	57
职能	57
脱	57
脸色	57
自由泳	57
自觉	57
莫须有	57
重复	57
闪	57
顺	57
7月	56
体会	56
僧	56
共产党	56
其次	56
右	56
吴	56
婴儿	56
学会	56
定位	56
巧	56
循环	56
扣	56
指标	56
整理	56
有时候	56
末	56
涂	56
状	56
猜	56
笔者	56
等于	56
而已	56
行政部门	56
证	56
谈判	56
躲	56
转化	56
辽宁	56
运输	56
重建	56
闻	56
阶层	56
党中央	55
全民	55
写作	55
准	55
创	55
别的	55
到达	55
制造业	55
医学	55
叶培忠	55
合法	55
周欣	55
国土	55
好几	55
展博	55
巩固	55
意识形态	55
批准	55
拉拉	55
放心	55
早上	55
昨天	55
最为	55
棵	55
源	55
灯	55
玻璃	55
看法	55
童年	55
编	55
虚	55
衣	55
补贴	55
计算机	55
认知	55
记载	55
语气	55
转向	55
适用	55
陕西	55
饿	55
黑色	55
19	54
东方	54
乃至	54
乘机	54
今后	54
使命	54
品	54
妹妹	54
娱乐	54
完美	54
小沈阳	54
形态	54
打击	54
捧	54
擦	54
无论是	54
更为	54
服	54
模仿	54
死者	54
汉	54
游泳	54
特定	54
示	54
福	54
答应	54
罗马	54
胜	54
要素	54
载	54
辉煌	54
阅读	54
限	54
顿时	54
飞行	54
驱动	54
高级	54
上来	53
不行	53
京	53
人间	53
伊斯兰教	53
克服	53
全体	53
函数	53
动词	53
北大	53
北方	53
司	53
吸	53
大多	53
家长	53
寺	53
带领	53
年度	53
建成	53
彼此	53
恐怖	53
打破	53
撞	53
放在	53
施工	53
无比	53
有力	53
杀手	53
来源	53
温度	53
煤	53
犯	53
瘦	53
社	53
符号	53
简直	53
老公	53
耳朵	53
脑	53
街道	53
认定	53
谢谢	53
转型	53
阳	53
降	53
陷入	53
颜	53
三十	52
到处	52
加速	52
反对	52
右手	52
品牌	52
国民党	52
埋	52
夏天	52
大地	52
女士	52
府	52
恐惧	52
感谢	52
捏	52
文学史	52
显	52
某个	52
歌曲	52
法院	52
波	52
淡	52
激发	52
甚	52
真理	52
神话	52
职	52
苏	52
调节	52
负担	52
财富	52
轻松	52
过于	52
逍	52
邓稼先	52
