汉字	频次
原	1448
技	1438
车	1434
儿	1432
神	1432
直	1431
眼	1429
山	1425
观	1425
报	1422
再	1414
调	1405
张	1400
导	1399
求	1399
受	1396
识	1392
件	1391
网	1390
计	1372
品	1371
思	1366
究	1355
际	1352
难	1352
海	1350
6	1347
共	1344
创	1339
师	1339
书	1338
风	1332
深	1331
规	1322
需	1312
候	1311
四	1305
像	1295
增	1295
具	1293
北	1293
党	1286
指	1286
它	1283
清	1282
推	1280
e	1278
快	1278
路	1271
.	1267
育	1267
完	1257
条	1253
农	1250
选	1232
非	1224
组	1215
至	1214
领	1210
据	1205
亲	1203
记	1199
步	1197
运	1196
构	1187
源	1187
取	1184
流	1183
类	1182
边	1180
则	1178
城	1178
交	1171
转	1170
始	1162
收	1160
今	1153
带	1146
息	1142
何	1140
治	1140
战	1136
每	1130
决	1128
语	1128
命	1126
革	1126
族	1124
复	1117
7	1115
觉	1110
军	1101
司	1100
造	1097
效	1096
服	1094
权	1093
白	1084
精	1082
容	1080
干	1076
反	1073
整	1068
却	1066
马	1059
节	1054
太	1046
空	1045
达	1039
办	1035
型	1033
听	1024
周	1015
万	1012
该	1008
响	996
院	996
台	992
存	990
住	989
模	989
校	986
专	984
越	984
养	980
众	979
确	979
标	978
吃	977
价	973
死	971
医	969
村	968
满	966
根	965
便	964
华	963
花	963
历	961
必	960
队	959
极	957
乐	952
排	949
a	946
言	946
离	943
包	940
省	940
笑	939
境	937
单	934
团	931
联	931
爱	929
元	926
委	926
近	926
望	924
)	921
格	921
较	920
广	918
王	918
五	917
功	914
往	913
落	910
o	908
即	906
i	905
许	905
准	904
南	903
林	903
象	903
食	898
议	897
t	896
青	895
n	894
字	891
孩	891
视	891
态	888
史	886
施	884
(	876
随	873
布	868
参	866
飞	863
策	861
局	859
断	856
连	856
企	854
层	854
房	852
环	852
拉	849
且	848
照	846
考	846
习	845
项	844
告	843
京	838
备	838
游	834
显	833
音	832
找	825
土	823
级	822
r	814
集	814
引	811
米	811
轻	811
支	807
仅	803
怎	801
划	799
李	794
热	791
百	791
片	790
续	789
阳	788
易	787
父	783
注	782
球	777
示	777
跟	777
宗	775
势	772
失	767
线	767
念	765
切	764
府	764
突	764
算	761
微	760
演	760
写	759
约	757
首	756
况	755
低	754
未	748
消	748
早	746
素	743
值	742
举	737
投	736
段	736
远	736
案	735
病	734
织	733
证	732
维	731
亚	730
依	726
钱	724
德	721
积	716
职	713
志	710
克	709
叫	709
兴	708
终	708
半	705
适	705
妈	704
查	704
优	701
图	700
坚	700
群	696
严	691
吧	691
母	690
费	689
料	687
纪	684
足	680
税	679
曾	678
呢	677
士	665
男	665
福	662
充	659
紧	659
s	658
健	658
歌	655
角	655
验	655
责	654
刚	653
商	653
巴	650
讲	648
修	647
择	647
护	646
古	641
按	639
营	639
速	639
尔	638
斯	638
争	637
承	636
红	636
危	635
域	635
供	633
助	632
艺	632
尽	629
岁	629
除	627
-	626
:	626
脸	625
控	621
善	620
请	620
居	619
益	619
l	617
似	617
室	616
吗	614
站	614
客	610
虽	610
限	602
底	601
留	601
监	600
乎	599
称	599
富	598
罗	598
友	597
故	597
石	596
黄	593
剧	592
另	592
双	587
喜	587
稳	587
致	586
味	585
征	585
火	585
初	584
晚	583
乡	578
刻	578
试	578
够	575
围	574
江	573
须	572
细	571
旅	568
范	568
装	566
舞	562
英	562
黑	562
融	560
夫	558
培	557
超	557
星	555
继	554
般	554
密	552
普	550
课	550
器	549
八	546
药	546
减	545
升	545
戏	545
采	544
纳	542
康	538
啊	536
率	535
状	533
互	532
刘	532
律	526
佛	524
句	522
欢	521
背	518
绝	517
获	516
负	516
属	515
景	514
例	513
某	513
坐	512
脑	512
章	511
央	509
酒	509
列	508
号	508
宝	508
毛	507
破	506
差	504
%	503
础	503
评	502
陈	501
核	500
独	500
协	497
C	494
木	492
帮	491
急	491
促	490
词	490
读	490
财	490
略	489
买	485
千	483
灵	483
换	482
毕	482
衣	482
令	481
络	479
香	479
阶	476
温	474
甚	474
置	474
云	473
待	473
县	472
害	471
赛	471
述	469
苦	468
诉	468
谁	468
哪	467
份	466
愿	465
担	463
班	463
阿	463
占	462
弟	461
六	460
血	460
""""	459
激	459
险	459
板	458
异	457
藏	457
惊	456
久	455
配	454
七	453
股	453
谈	449
静	449
简	448
防	448
挥	447
良	447
官	445
临	444
博	444
怕	443
劳	441
胡	438
杀	437
亮	435
冷	435
追	435
S	433
?	431
压	431
姐	430
铁	429
倒	428
c	426
河	424
奇	423
疗	422
树	421
油	421
送	421
竟	420
A	419
希	416
材	416
概	416
拿	415
杂	415
穿	415
春	413
预	413
否	412
含	412
括	411
冲	410
脚	409
错	409
d	408
m	407
仍	407
渐	407
户	406
警	406
批	405
障	403
饭	402
困	397
左	396
慢	395
怀	393
假	391
析	391
菜	390
补	390
遇	390
既	389
款	389
婚	388
审	388
探	388
宁	387
夜	386
止	386
均	385
P	384
朝	384
疑	384
哈	383
堂	382
画	382
著	382
答	381
执	380
皮	380
沉	379
卫	378
楼	378
哥	377
朋	376
伤	375
抓	374
击	373
降	373
座	372
礼	372
叶	371
察	371
努	370
遗	369
庭	368
督	365
讨	365
吸	363
州	363
措	363
销	363
停	361
诗	361
印	360
烈	360
肉	360
雨	360
测	359
版	359
宣	358
犯	358
顺	358
馆	357
智	356
曲	356
您	355
靠	355
兵	353
派	353
索	353
扩	352
招	352
闻	352
余	351
块	351
典	350
巨	349
杨	349
缺	348
陆	348
救	347
短	347
训	346
践	343
亿	342
隐	342
副	341
申	340
镇	340
散	339
秘	338
波	336
顾	336
右	334
忙	334
祖	333
鲜	333
u	332
怪	332
痛	332
兰	331
幸	331
移	331
T	330
季	330
盘	330
汉	325
免	324
斗	324
端	323
喝	322
草	321
九	320
床	320
睛	318
纸	318
爸	317
架	316
检	315
熟	315
松	314
锦	314
I	313
乱	313
欧	313
握	312
永	312
雪	311
露	311
逐	310
银	310
M	309
h	309
席	309
睡	309
笔	309
龙	308
玩	307
介	306
借	306
帝	305
跑	305
掌	303
苏	303
贵	303
湖	302
呼	300
若	300
丽	299
录	299
罪	298
挑	297
牛	297
固	296
午	295
宽	295
授	294
阴	294
奋	293
练	293
退	293
厅	292
赵	292
鼓	292
D	291
肯	291
启	290
额	289
享	288
唱	288
虚	288
翻	287
仰	286
梦	286
判	285
针	285
套	284
洲	282
释	282
旧	281
园	280
掉	280
序	279
植	279
武	279
野	279
予	278
娘	278
扬	278
映	278
毒	278
编	278
赶	278
顿	278
刀	277
屋	277
播	277
谢	277
嘴	276
涛	276
‘	275
届	275
钟	275
拍	274
洋	274
淡	274
威	273
g	272
’	272
冰	272
店	272
胜	272
趣	272
奥	271
抗	271
雷	271
染	269
遍	269
阵	268
童	267
卖	266
卡	266
晓	266
暗	265
污	265
献	265
船	265
迪	265
姑	264
绿	264
敢	263
楚	263
脱	262
虑	262
付	261
寻	261
秀	261
聚	261
骨	261
归	260
透	260
彻	259
街	259
购	258
迷	258
醒	258
y	257
彩	257
灾	257
衡	257
贸	257
恐	256
顶	256
疾	255
私	255
恶	254
爷	253
载	253
寒	251
托	251
篇	251
涉	250
孔	249
汽	249
纯	249
震	249
延	247
残	247
摇	246
伟	245
唐	245
圆	245
攻	245
泽	245
符	244
鱼	244
妻	243
登	243
盖	243
荣	243
谓	243
O	242
丰	242
守	242
尤	242
洗	241
烟	241
纷	241
缓	241
亡	240
售	240
搞	240
莫	240
牌	239
默	239
厚	238
弱	237
B	236
硬	236
秋	236
尚	235
拥	235
摩	235
洞	235
;	234
森	234
E	233
狱	232
径	231
伍	230
射	230
泳	229
避	229
朱	226
G	225
枪	225
泛	225
牙	225
繁	225
贯	225
封	223
峰	223
幕	223
绍	223
距	223
轮	223
仿	222
跳	222
澳	221
航	221
沙	220
综	220
途	220
庆	219
p	218
夏	218
绩	218
迎	218
伊	217
折	217
竞	217
雄	216
伯	215
操	215
束	215
键	215
丹	214
混	214
灰	214
访	214
媒	213
庄	213
忽	213
颜	213
孙	212
桌	212
．	212
L	211
奶	211
累	211
耳	211
货	211
软	211
敬	210
贴	210
迹	210
奖	209
宜	209
俗	208
忘	208
输	208
厂	207
婆	207
徐	207
票	207
误	207
豆	207
塔	206
附	206
休	205
吴	205
泥	205
!	204
丝	204
励	204
呀	204
碳	204
闭	204
恩	203
哲	202
坏	202
忆	202
欲	202
刺	201
纹	201
伴	200
梁	200
餐	200
伦	199
佳	199
粉	199
兄	198
暴	198
蛋	198
饮	198
哭	197
灯	197
绕	197
蒙	197
贷	197
偏	196
宾	196
抱	196
脏	196
诚	196
壤	195
摆	195
毫	195
侧	194
巧	194
洁	194
穷	194
窗	194
竿	194
妹	193
浪	193
茶	193
译	193
丈	192
港	192
辈	192
玉	190
田	190
R	189
]	189
惯	189
潮	189
[	188
唯	188
壮	188
伸	187
汇	187
烧	187
败	187
麻	186
齐	186
净	185
杯	185
袋	185
谷	185
妇	184
弹	184
迁	184
尊	183
召	182
圈	182
墙	182
浓	182
逃	182
N	181
谐	181
沈	180
舍	180
诺	180
韩	180
鸡	180
仪	177
泰	177
珍	177
缩	177
闪	177
禁	176
腐	176
辉	176
迅	176
坛	175
旁	175
盛	175
筑	175
估	174
姓	174
弃	174
绪	174
卷	173
圣	173
拜	173
涵	173
眉	173
润	172
蹈	172
迫	172
偿	171
忠	171
抽	171
狂	171
狗	171
祝	171
鬼	171
亦	170
幅	170
懂	170
杰	170
镜	170
伙	169
漫	169
脾	169
v	168
忍	168
触	168
贡	168
雅	168
凡	167
蓝	167
扣	166
挂	166
损	166
欣	166
诸	166
酸	166
框	165
尼	164
川	164
梅	164
沿	164
粮	164
乏	163
嘉	163
湿	163
魂	163
龄	163
F	162
末	162
舒	162
k	161
偷	161
君	161
宏	161
扎	161
肤	161
谋	161
艰	160
乘	159
邓	159
丁	158
勇	158
珠	158
盾	158
薄	158
违	158
鉴	158
弄	157
缘	157
b	156
虎	156
辆	155
闹	155
冬	154
描	154
凶	153
喊	153
替	153
液	153
湾	153
瓶	153
签	153
劲	152
漂	152
潜	152
w	151
摸	151
盟	151
趋	151
凭	150
泡	150
倾	149
惠	149
盆	149
肥	149
董	149
蒋	149
币	148
援	148
炼	148
粗	148
贫	148
隔	148
呈	147
咱	147
昌	147
池	147
频	147
f	146
冒	146
寿	146
敏	146
刑	145
塞	145
抢	145
磨	145
肩	145
拔	144
赞	144
零	144
枝	143
遭	143
鲁	143
/	142
叹	142
扶	142
搭	142
泪	142
滑	142
犹	142
袭	142
夺	141
徒	141
矿	141
胞	141
旦	140
肠	140
K	139
恢	139
患	139
戴	138
焦	138
筹	138
籍	138
胸	138
询	138
郑	138
H	137
凉	137
慧	137
遥	137
闲	137
鼻	137
冠	136
凝	136
宋	136
岸	136
缴	136
腿	136
挺	135
氏	135
津	135
寨	134
幻	134
晨	134
横	134
麦	134
恋	133
悉	133
殊	133
秦	133
稀	133
郭	133
陷	133
暖	132
猛	132
覆	132
乃	131
尖	131
抬	131
插	131
洪	131
皇	131
胶	131
偶	130
刊	130
剩	130
坡	130
奔	130
拟	130
振	130
燃	130
竹	130
壁	129
涯	129
烦	129
丫	128
儒	128
吓	128
扫	128
汗	128
猪	128
罚	128
署	128
兼	127
爆	127
矛	127
秒	127
貌	127
陪	127
乌	126
仇	125
舆	125
跨	125
剑	124
啦	124
尸	124
敌	124
荡	124
裁	124
订	124
辑	124
搜	123
盐	123
颗	123
循	122
狠	122
裂	122
陕	122
隆	122
岩	121
崇	121
怒	121
牵	121
羊	121
％	121
债	120
兔	120
仁	119
岳	119
浮	119
岛	118
抵	118
旗	118
牢	118
蔡	118
详	118
辛	118
孤	117
尝	117
惑	117
柔	117
煤	117
腰	117
鹿	117
宿	116
暂	116
胆	116
递	116
郁	116
悲	115
涨	115
蔬	115
叔	114
塑	114
朗	114
碰	114
蜜	114
剪	113
宪	113
悄	113
灭	113
番	113
鹤	113
宇	112
忧	112
甘	112
纵	112
侵	111
吉	111
吹	111
嘛	111
妖	111
赏	111
恒	110
迈	110
阻	110
雾	110
刷	109
勤	109
拒	109
糊	109
紫	109
荒	109
辞	109
飘	109
宫	108
撞	108
烂	108
猜	108
艇	108
贝	108
赖	108
跃	108
鞋	108
勒	107
坦	107
岗	107
恰	107
椅	107
疯	107
码	107
纲	107
脆	107
菲	107
誉	107
驱	107
厉	106
旋	106
桥	106
沭	106
狼	106
穴	106
莲	106
闷	106
匆	105
墨	105
抄	105
杜	105
耗	105
驶	105
倍	104
库	104
拓	104
添	104
脂	104
邀	104
爬	103
胖	103
踪	103
辅	103
姿	102
废	102
扑	102
拖	102
玛	102
碎	102
井	101
凌	101
涂	101
溶	101
腾	101
呆	100
呵	100
埋	100
堆	100
愈	100
摄	100
朵	100
稍	100
衰	100
踏	100
阅	100
尺	99
尾	99
幽	99
甜	99
阔	99
颇	99
骂	99
桑	98
氛	98
聘	98
腹	98
驾	98
魔	98
乔	97
彼	97
惜	97
昏	97
晒	97
汤	97
铺	97
储	96
卓	96
妙	96
婴	96
幼	96
撑	96
汪	96
炸	96
聊	96
轰	96
钢	96
截	95
抑	95
滚	95
诊	95
辨	95
·	94
搬	94
晶	94
症	94
祥	94
粒	94
辽	94
剂	93
寺	93
昨	93
琴	93
迟	93
伏	92
涌	92
瓜	92
箱	92
纤	92
肚	92
谱	92
躲	92
俩	91
册	91
屈	91
帆	91
挤	91
瑞	91
胃	91
虫	91
锁	91
凯	90
扰	90
擦	90
瘦	90
稿	90
钻	90
锋	90
啥	89
悠	89
晃	89
曼	89
滴	89
疼	89
租	89
荷	89
萨	89
豪	89
返	89
W	88
丢	88
乳	88
仔	88
奏	88
姆	88
怨	88
沟	88
瓦	88
脉	88
艾	88
履	87
恨	87
慰	87
揭	87
肃	87
肝	87
赤	87
赴	87
仙	86
俊	86
垂	86
肖	86
艳	86
赫	86
骗	86
丧	85
僧	85
兽	85
扭	85
玻	85
畅	85
酷	85
V	84
吐	84
奉	84
弯	84
役	84
拼	84
璃	84
痕	84
皱	84
糖	84
浸	83
滋	83
耐	83
蛇	83
诞	83
俄	82
圳	82
姜	82
戒	82
猫	82
瑟	82
甲	82
舅	82
贺	82
赢	82
~	81
凤	81
戈	81
晰	81
桃	81
芳	81
冯	80
吕	80
慌	80
拆	80
曹	80
氧	80
洛	80
炎	80
纠	80
罢	80
讼	80
躺	80
邮	80
吵	79
哦	79
喂	79
惧	79
斤	79
毁	79
浅	79
饱	79
～	79
夹	78
欠	78
皆	78
账	78
锻	78
饰	78
骑	78
鸟	78
倡	77
冻	77
唇	77
妆	77
愣	77
挖	77
斑	77
碗	77
饿	77
龟	77
仓	76
寄	76
庞	76
悟	76
柱	76
泉	76
燕	76
裕	76
辖	76
逊	76
尘	75
廉	75
扮	75
抚	75
柜	75
档	75
疲	75
瞬	75
苗	75
袁	75
赋	75
邻	75
锅	75
隙	75
厨	74
壳	74
娃	74
弘	74
掘	74
朴	74
耀	74
肌	74
遵	74
醉	74
颤	74
鹏	74
傻	73
咬	73
夕	73
娱	73
悬	73
愤	73
痘	73
腔	73
蒸	73
诱	73
锐	73
鼠	73
劝	72
卧	72
峻	72
崔	72
慈	72
聪	72
胁	72
舌	72
莉	72
菌	72
－	72
U	71
喷	71
奈	71
慕	71
挣	71
旨	71
渡	71
爹	71
笼	71
萍	71
袖	71
哎	70
怖	70
敲	70
栋	70
栏	70
桶	70
榜	70
殖	70
肿	70
膜	70
苍	70
讯	70
逻	70
叙	69
吨	69
弈	69
拾	69
稼	69
羡	69
膏	69
薪	69
函	68
忌	68
抖	68
撒	68
柴	68
欺	68
狭	68
癌	68
盯	68
胎	68
芽	68
逼	68
勃	67
嗯	67
岭	67
泊	67
琳	67
筋	67
轨	67
酱	67
０	67
嘻	66
寂	66
惩	66
捕	66
敦	66
殿	66
浇	66
猎	66
盗	66
睁	66
秩	66
罐	66
葵	66
跌	66
阐	66
驻	66
俱	65
拳	65
晋	65
浑	65
盒	65
辩	65
陀	65
颠	65
券	64
咨	64
屏	64
弥	64
抹	64
斜	64
枯	64
渠	64
渴	64
溜	64
爽	64
碍	64
黎	64
斌	63
缝	63
臭	63
贾	63
伪	62
割	62
吞	62
堪	62
摘	62
毅	62
疏	62
膨	62
荆	62
雯	62
J	61
厘	61
坯	61
帅	61
御	61
怜	61
扇	61
扔	61
捧	61
汁	61
泄	61
盈	61
砸	61
祭	61
穆	61
贪	61
颈	61
串	60
劣	60
掩	60
柳	60
樊	60
洒	60
煌	60
膀	60
薛	60
衷	60
鸣	60
允	59
屁	59
悦	59
抛	59
拨	59
昆	59
杆	59
棋	59
漠	59
熊	59
祸	59
翠	59
览	59
钓	59
陌	59
雕	59
吻	58
哀	58
妥	58
娜	58
庸	58
悔	58
拦	58
撤	58
桂	58
纽	58
茫	58
辣	58
逍	58
孕	57
宅	57
寓	57
廊	57
摊	57
梯	57
棵	57
磁	57
窝	57
舱	57
苹	57
莱	57
谨	57
豫	57
侯	56
傅	56
吁	56
圾	56
垃	56
姨	56
嫁	56
惨	56
昂	56
杭	56
栽	56
桩	56
浙	56
渗	56
牧	56
裤	56
陶	56
鹰	56
勉	55
寸	55
巩	55
捏	55
携	55
晕	55
曙	55
狄	55
眠	55
耶	55
逆	55
郊	55
凸	54
匹	54
嘿	54
墓	54
摔	54
浆	54
浴	54
淘	54
瞪	54
脖	54
臂	54
赔	54
赚	54
逝	54
钦	54
页	54
乒	53
侦	53
催	53
嫌	53
恼	53
斥	53
旺	53
枚	53
柯	53
淋	53
燥	53
玄	53
绳	53
腊	53
苔	53
逢	53
遮	53
铜	53
剥	52
卜	52
咸	52
嘱	52
埃	52
愉	52
澜	52
玲	52
碑	52
绘	52
辱	52
铭	52
雇	52
Q	51
喘	51
尿	51
慨	51
挡	51
捷	51
棒	51
绵	51
荐	51
霸	51
魅	51
+	50
佩	50
哗	50
奠	50
彦	50
砖	50
硕	50
萧	50
辰	50
酬	50
陵	50
饥	50
厌	49
懒	49
披	49
畏	49
筒	49
羞	49
蓄	49
蔚	49
铃	49
乓	48
嫩	48
庙	48
扯	48
棉	48
滞	48
漏	48
郎	48
钩	48
Y	47
亏	47
伐	47
唤	47
填	47
宙	47
宴	47
愁	47
慎	47
浩	47
煮	47
玫	47
窄	47
蕴	47
蛮	47
蜂	47
衫	47
裹	47
鸭	47
俏	46
兆	46
叮	46
咖	46
坎	46
巾	46
憾	46
掏	46
械	46
歉	46
灿	46
眨	46
瞧	46
虾	46
谎	46
侍	45
咽	45
堵	45
徽	45
氢	45
炒	45
炮	45
熬	45
肪	45
胀	45
萝	45
贼	45
邪	45
骤	45
x	44
僵	44
啡	44
妨	44
姻	44
孝	44
孟	44
屡	44
巡	44
灌	44
牡	44
盲	44
箭	44
糟	44
裙	44
讶	44
饼	44
×	43
傲	43
咳	43
坑	43
夸	43
巷	43
帕	43
熏	43
翁	43
肾	43
芒	43
葛	43
蝶	43
霉	43
驰	43
丘	42
乖	42
凹	42
嗓	42
恭	42
攀	42
棚	42
歇	42
漆	42
矩	42
矮	42
罕	42
谦	42
赌	42
蹲	42
轩	42
链	42
霍	42
齿	42
―	41
丑	41
吊	41
址	41
坊	41
寡	41
捐	41
歧	41
沾	41
渊	41
缠	41
罩	41
藩	41
趁	41
逛	41
卿	40
坠	40
娇	40
宠	40
彭	40
懈	40
擎	40
晴	40
暑	40
湘	40
溢	40
琪	40
瑰	40
稻	40
粹	40
舟	40
芬	40
葬	40
贤	40
贿	40
躁	40
邦	40
６	40
X	39
凑	39
嘲	39
奢	39
帐	39
廷	39
押	39
挨	39
搏	39
撰	39
柏	39
殷	39
泼	39
熙	39
牲	39
疫	39
翔	39
肺	39
膳	39
蕾	39
蛙	39
衔	39
跪	39
顽	39
刮	38
劫	38
匀	38
峡	38
帜	38
弗	38
桐	38
猴	38
碌	38
蚁	38
螺	38
裸	38
辟	38
丛	37
卦	37
叠	37
吟	37
喉	37
妄	37
崩	37
撕	37
株	37
泣	37
甩	37
竭	37
粥	37
绎	37
翼	37
肢	37
贩	37
邵	37
闯	37
z	36
喻	36
屠	36
捉	36
梳	36
潘	36
祀	36
禾	36
粘	36
糕	36
耻	36
肆	36
脊	36
腺	36
臣	36
芸	36
茨	36
萌	36
蔓	36
衬	36
伽	35
勾	35
叉	35
啪	35
崖	35
弊	35
揉	35
敕	35
曰	35
柄	35
椒	35
沧	35
泌	35
疆	35
窃	35
羽	35
翰	35
艘	35
衍	35
辐	35
韵	35
骄	35
骡	35
伲	34
兜	34
吱	34
哇	34
契	34
彪	34
惟	34
惹	34
愧	34
掀	34
搓	34
斩	34
沫	34
炉	34
疮	34
竖	34
耕	34
誓	34
躯	34
霞	34
颁	34
魏	34
刹	33
塌	33
彰	33
棣	33
歪	33
滩	33
甸	33
翅	33
茅	33
葱	33
蚊	33
谊	33
醋	33
陋	33
雀	33
*	32
仆	32
匠	32
卵	32
哼	32
夷	32
帽	32
怔	32
拐	32
挽	32
捡	32
畴	32
筷	32
诀	32
豺	32
赎	32
逸	32
钉	32
钊	32
驳	32
骏	32
魄	32
黏	32
１	32
俭	31
傍	31
卑	31
嗅	31
噪	31
堡	31
嵌	31
拇	31
揽	31
撼	31
楂	31
榛	31
滨	31
痴	31
盼	31
睹	31
诵	31
趟	31
遂	31
骚	31
鸦	31
伞	30
冤	30
削	30
吼	30
吾	30
喇	30
坪	30
宰	30
戚	30
拌	30
敷	30
杏	30
棺	30
涩	30
痒	30
瞩	30
笨	30
腌	30
袍	30
诫	30
踩	30
魁	30
'	29
=	29
僚	29
凳	29
勺	29
厢	29
叛	29
咕	29
垫	29
奴	29
妮	29
媚	29
恍	29
拽	29
挫	29
搅	29
沸	29
烫	29
砍	29
耍	29
芦	29
萎	29
隧	29
鸿	29
〕	28
亩	28
亭	28
仗	28
冀	28
匪	28
厕	28
咐	28
哄	28
哑	28
啤	28
喃	28
娟	28
媞	28
岂	28
帖	28
挪	28
旱	28
橡	28
汰	28
溃	28
炭	28
爪	28
畜	28
瘤	28
瞎	28
禅	28
耸	28
胳	28
茗	28
褐	28
谜	28
逗	28
钥	28
佐	27
厦	27
吆	27
囊	27
屑	27
掐	27
樾	27
澄	27
稽	27
缔	27
蔽	27
蛛	27
郝	27
酿	27
钙	27
鞭	27
韦	27
馈	27
乞	26
凰	26
刃	26
剖	26
勘	26
咋	26
咒	26
咧	26
啸	26
嚎	26
囚	26
坟	26
宛	26
寝	26
尬	26
尴	26
弦	26
擅	26
枣	26
沃	26
溯	26
焘	26
煞	26
瑜	26
眯	26
瞒	26
硫	26
磷	26
祈	26
纱	26
腥	26
腻	26
芝	26
芭	26
茂	26
蒂	26
蓬	26
诡	26
赠	26
踢	26
蹄	26
锡	26
鞠	26
鹦	26
佬	25
塘	25
婉	25
惶	25
憋	25
扁	25
掠	25
晤	25
梓	25
梭	25
泻	25
渔	25
滔	25
滥	25
烘	25
琐	25
瓷	25
砂	25
秧	25
笋	25
膊	25
茄	25
莎	25
讽	25
诈	25
谅	25
铎	25
颂	25
颖	25
〔	24
冉	24
冥	24
匙	24
唉	24
嘎	24
嘶	24
姚	24
姥	24
弓	24
恳	24
拘	24
拢	24
暮	24
沼	24
浦	24
渍	24
瘫	24
眶	24
缚	24
腕	24
膝	24
虐	24
虹	24
遣	24
麒	24
鼎	24
Z	23
°	23
劈	23
勋	23
募	23
卸	23
嚼	23
媳	23
拭	23
旬	23
朽	23
溪	23
焕	23
皂	23
禺	23
秉	23
绑	23
舰	23
芹	23
裔	23
谣	23
贱	23
鑫	23
锯	23
饶	23
髙	23
&	22
℃	22
侃	22
侄	22
叽	22
垒	22
嫂	22
嵩	22
帘	22
幢	22
抒	22
掺	22
揣	22
搁	22
敛	22
旷	22
昔	22
暇	22
泵	22
淌	22
滤	22
澡	22
疚	22
碧	22
磕	22
笛	22
篮	22
绽	22
蓁	22
蟹	22
覃	22
趴	22
轴	22
铸	22
阁	22
霜	22
颊	22
鳞	22
麟	22
２	22
★	21
侈	21
倦	21
卢	21
呜	21
哨	21
垄	21
娶	21
怠	21
恤	21
敞	21
栗	21
煎	21
牟	21
眸	21
缅	21
蜘	21
襟	21
谭	21
轿	21
遏	21
醇	21
隶	21
馨	21
q	20
侣	20
侨	20
僻	20
凿	20
匿	20
呃	20
咙	20
嗽	20
嘘	20
噩	20
婷	20
怯	20
拎	20
撇	20
枕	20
橘	20
毋	20
汞	20
焉	20
焰	20
牺	20
琼	20
瞄	20
矣	20
砰	20
硅	20
窍	20
笃	20
舔	20
裴	20
襄	20
譬	20
辜	20
陡	20
骇	20
Ｙ	20
丐	19
呕	19
喳	19
嗜	19
尹	19
崛	19
巢	19
恕	19
惚	19
惫	19
拱	19
捆	19
昭	19
枢	19
梢	19
溅	19
灼	19
炙	19
炫	19
狐	19
狮	19
盏	19
瞳	19
祛	19
稚	19
筛	19
莹	19
菊	19
衙	19
诧	19
迄	19
逮	19
钮	19
雁	19
顷	19
颐	19
骆	19
鲍	19
３	19
