詞頻序號	詞目	出現頻次	累積頻次	累積百分比
74	進行	480	58377	11.005143
75	其他	479	58856	11.095443
76	環境	477	59333	11.185366
77	表示	475	59808	11.274912
78	無法	475	60283	11.364458
79	方式	474	60757	11.453816
80	需要	473	61230	11.542985
81	國內	472	61702	11.631966
82	老師	461	62163	11.718873
83	方面	458	62621	11.805214
84	使用	458	63079	11.891555
85	甚至	457	63536	11.977708
86	今天	454	63990	12.063295
87	國際	448	64438	12.147751
88	一樣	447	64885	12.232019
89	同時	447	65332	12.316287
90	而且	447	65779	12.400555
91	非常	441	66220	12.483692
92	這樣	439	66659	12.566452
93	成長	436	67095	12.648646
94	一定	432	67527	12.730086
95	一般	431	67958	12.811337
96	歷史	431	68389	12.892588
97	相當	430	68819	12.973651
98	當時	429	69248	13.054525
99	過去	428	69676	13.135211
100	舉行	428	70104	13.215897
101	然而	425	70529	13.296017
102	應該	425	70954	13.376137
103	臺北	421	71375	13.455503
104	故事	417	71792	13.534115
105	總統	417	72209	13.612727
106	電腦	413	72622	13.690585
107	空間	412	73034	13.768255
108	大家	411	73445	13.845736
109	媽媽	410	73855	13.923029
110	如此	409	74264	14.000133
111	作品	402	74666	14.075917
112	結果	400	75066	14.151324
113	部分	395	75461	14.225789
114	土地	394	75855	14.300065
115	今年	392	76247	14.373964
116	主要	392	76639	14.447863
117	自然	389	77028	14.521197
118	特別	387	77415	14.594154
119	學校	382	77797	14.666168
120	其中	381	78178	14.737994
121	產生	380	78558	14.809631
122	傳統	380	78938	14.881268
123	增加	380	79318	14.952905
124	為什麼	379	79697	15.024354
125	產品	379	80076	15.095803
126	提供	374	80450	15.166309
127	舉辦	374	80824	15.236815
128	中心	373	81197	15.307132
129	比賽	372	81569	15.377261
130	決定	369	81938	15.446824
131	最後	369	82307	15.516387
132	情況	367	82674	15.585573
133	參加	364	83038	15.654194
134	這些	364	83402	15.722815
135	喜歡	364	83766	15.791436
136	系統	362	84128	15.859680
137	方法	361	84489	15.927735
138	健康	361	84850	15.995790
139	只有	358	85208	16.063280
140	以及	354	85562	16.130016
141	生命	353	85915	16.196563
142	家庭	353	86268	16.263110
143	比較	350	86618	16.329091
144	能力	350	86968	16.395072
145	經驗	350	87318	16.461053
146	時代	349	87667	16.526846
147	造成	349	88016	16.592639
148	技術	347	88363	16.658055
149	藝術	347	88710	16.723471
150	世紀	340	89050	16.787567
151	是否	339	89389	16.851475
152	地球	338	89727	16.915194
153	出來	337	90064	16.978725
154	管理	337	90401	17.042256
155	快樂	336	90737	17.105598
156	容易	336	91073	17.168940
157	地區	334	91407	17.231905
158	汽車	334	91741	17.294870
159	運動	334	92075	17.357835
160	成功	330	92405	17.420046
161	怎麼	330	92735	17.482257
162	機會	328	93063	17.544091
163	只是	327	93390	17.605737
164	完全	326	93716	17.667194
165	這個	326	94042	17.728651
166	選擇	326	94368	17.790108
167	事實	323	94691	17.850999
168	人員	322	95013	17.911702
169	覺得	322	95335	17.972405
170	先生	319	95654	18.032542
171	開發	319	95973	18.092679
172	經過	319	96292	18.152816
173	東西	318	96610	18.212765
174	感覺	317	96927	18.272525
175	對於	317	97244	18.332285
176	改變	316	97560	18.391857
177	香港	315	97875	18.451240
178	所有	314	98189	18.510435
179	當然	314	98503	18.569630
180	利用	313	98816	18.628636
181	個人	313	99129	18.687642
182	之後	309	99438	18.745894
183	然後	309	99747	18.804146
184	真正	306	100053	18.861833
185	推出	306	100359	18.919520
186	過程	306	100665	18.977207
187	環保	304	100969	19.034517
188	不斷	303	101272	19.091638
189	服務	303	101575	19.148759
190	接受	302	101877	19.205692
191	這種	301	102178	19.262436
192	可是	300	102478	19.318992
193	中共	299	102777	19.375359
194	進入	299	103076	19.431726
195	告訴	298	103374	19.487905
196	一直	297	103671	19.543895
197	其實	296	103967	19.599696
198	動物	295	104262	19.655309
199	經營	293	104555	19.710545
200	人民	292	104847	19.765592
201	另外	291	105138	19.820451
202	一些	289	105427	19.874933
203	包括	288	105715	19.929226
204	去年	287	106002	19.983331
205	於是	287	106289	20.037436
206	注意	287	106576	20.091541
207	組織	287	106863	20.145646
208	開放	287	107150	20.199751
209	父親	285	107435	20.253479
210	年代	285	107720	20.307207
211	生產	283	108003	20.360558
212	形成	282	108285	20.413720
213	政策	282	108567	20.466882
214	新加坡	282	108849	20.520044
215	十分	279	109128	20.572641
216	只要	279	109407	20.625238
217	計畫	278	109685	20.677646
218	現象	277	109962	20.729866
219	歐洲	277	110239	20.782086
220	那麼	276	110515	20.834117
221	原因	276	110791	20.886148
222	人類	274	111065	20.937802
223	音樂	273	111338	20.989268
224	精神	273	111611	21.040734
225	一起	272	111883	21.092011
226	成立	272	112155	21.143288
227	教學	272	112427	21.194565
228	要求	271	112698	21.245654
229	任何	267	112965	21.295988
230	指出	267	113232	21.346322
231	嚴重	267	113499	21.396656
232	繼續	267	113766	21.446990
233	處理	266	114032	21.497136
234	父母	265	114297	21.547093
235	例如	265	114562	21.597050
236	學習	265	114827	21.647007
237	品質	263	115090	21.696587
238	國民黨	262	115352	21.745979
239	選舉	261	115613	21.795182
240	以後	260	115873	21.844197
241	民眾	260	116133	21.893212
242	現代	260	116393	21.942227
243	觀念	260	116653	21.991242
244	女性	259	116912	22.040068
245	人生	258	117170	22.088706
246	代表	258	117428	22.137344
247	科學	255	117683	22.185416
248	擁有	255	117938	22.233488
249	功能	254	118192	22.281372
250	了解	253	118445	22.329067
251	似乎	252	118697	22.376574
252	治療	252	118949	22.424081
253	相信	252	119201	22.471588
254	幾乎	252	119453	22.519095
255	制度	251	119704	22.566413
256	標準	251	119955	22.613731
257	解決	250	120205	22.660861
258	引起	249	120454	22.707802
259	完成	249	120703	22.754743
260	認識	249	120952	22.801684
261	即使	248	121200	22.848437
262	交通	247	121447	22.895001
263	高市	247	121694	22.941565
264	逐漸	247	121941	22.988129
265	電視	247	122188	23.034693
266	壓力	246	122434	23.081069
267	病人	245	122679	23.127256
268	目標	244	122923	23.173255
269	努力	244	123167	23.219254
270	競爭	243	123410	23.265064
271	建立	242	123652	23.310685
272	根據	242	123894	23.356306
273	都是	241	124135	23.401739
274	臺北市	241	124376	23.447172
275	影片	240	124616	23.492416
276	終於	239	124855	23.537472
277	歡迎	238	125093	23.582339
278	母親	237	125330	23.627018
279	保護	236	125566	23.671508
280	獲得	236	125802	23.715998
281	醫生	236	126038	23.760488
282	人們	235	126273	23.804790
283	準備	235	126508	23.849092
284	大學	233	126741	23.893017
285	一切	232	126973	23.936753
286	女人	232	127205	23.980489
287	自由	232	127437	24.024225
288	尤其	231	127668	24.067773
289	英國	231	127899	24.111321
290	幫助	231	128130	24.154869
291	也許	230	128360	24.198228
292	後來	230	128590	24.241587
293	合作	228	128818	24.284569
294	還有	228	129046	24.327551
295	身體	227	129273	24.370345
296	美元	227	129500	24.413139
297	面對	227	129727	24.455933
298	提出	227	129954	24.498727
299	提高	227	130181	24.541521
300	業者	226	130407	24.584126
301	價值	223	130630	24.626166
302	專業	222	130852	24.668017
303	不僅	221	131073	24.709680
304	車型	221	131294	24.751343
305	看到	221	131515	24.793006
306	上市	220	131735	24.834480
307	反應	220	131955	24.875954
308	支持	220	132175	24.917428
309	科技	220	132395	24.958902
310	變化	219	132614	25.000188
311	銀行	218	132832	25.041285
312	才能	217	133049	25.082194
313	北縣	217	133266	25.123103
314	單位	217	133483	25.164012
315	調查	217	133700	25.204921
316	變成	217	133917	25.245830
317	心理	216	134133	25.286550
318	分析	214	134347	25.326893
319	此外	214	134561	25.367236
320	長期	214	134775	25.407579
321	減少	214	134989	25.447922
322	還是	214	135203	25.488265
323	民主	212	135415	25.528231
324	別人	212	135627	25.568197
325	也是	211	135838	25.607974
326	值得	211	136049	25.647751
327	電話	211	136260	25.687528
328	力量	210	136470	25.727117
329	充滿	210	136680	25.766706
330	觀眾	210	136890	25.806295
331	展開	209	137099	25.845695
332	資金	209	137308	25.885095
333	爸爸	208	137516	25.924307
334	人物	207	137723	25.963330
335	策略	207	137930	26.002353
336	廠商	207	138137	26.041376
337	民間	206	138343	26.080211
338	事業	206	138549	26.119046
339	超過	206	138755	26.157881
340	聲音	206	138961	26.196716
341	同樣	205	139166	26.235362
342	青少年	205	139371	26.274008
343	信託	205	139576	26.312654
344	配備	205	139781	26.351300
345	實際	204	139985	26.389758
346	全國	202	140187	26.427839
347	並且	202	140389	26.465920
348	法國	202	140591	26.504001
349	方向	201	140792	26.541893
350	以前	201	140993	26.579785
351	因素	201	141194	26.617677
352	宇宙	201	141395	26.655569
353	專家	201	141596	26.693461
354	創作	201	141797	26.731353
355	存在	200	141997	26.769057
356	作用	200	142197	26.806761
357	建設	200	142397	26.844465
358	痛苦	200	142597	26.882169
359	加強	199	142796	26.919684
360	食物	199	142995	26.957199
361	觀察	199	143194	26.994714
362	全球	197	143391	27.031852
363	至於	197	143588	27.068990
364	城市	197	143785	27.106128
365	演出	197	143982	27.143266
366	改革	196	144178	27.180216
367	附近	196	144374	27.217166
368	原來	196	144570	27.254116
369	產業	196	144766	27.291066
370	距離	196	144962	27.328016
371	顯示	196	145158	27.364966
372	起來	195	145353	27.401727
373	意義	195	145548	27.438488
374	民進黨	194	145742	27.475061
375	直接	194	145936	27.511634
376	重視	193	146129	27.548018
377	資料	193	146322	27.584402
378	性能	192	146514	27.620598
379	高雄	192	146706	27.656794
380	報導	192	146898	27.692990
381	製造	191	147089	27.728997
382	銷售	191	147280	27.765004
383	角色	190	147470	27.800823
384	教授	190	147660	27.836642
385	不再	189	147849	27.872272
386	旅遊	189	148038	27.907902
387	控制	189	148227	27.943532
388	積極	189	148416	27.979162
389	親子	189	148605	28.014792
390	仍然	188	148793	28.050233
391	建議	188	148981	28.085674
392	太陽	187	149168	28.120927
393	智慧	187	149355	28.156180
394	資源	187	149542	28.191433
395	遊戲	186	149728	28.226497
396	說明	186	149914	28.261561
397	你們	185	150099	28.296437
398	改善	185	150284	28.331313
399	或許	185	150469	28.366189
400	建築	185	150654	28.401065
401	教師	185	150839	28.435941
402	媒體	185	151024	28.470817
403	系列	184	151208	28.505504
404	員工	184	151392	28.540191
405	基本	184	151576	28.574878
406	成本	183	151759	28.609377
407	有關	183	151942	28.643876
408	明顯	183	152125	28.678375
409	共同	182	152307	28.712685
410	具有	182	152489	28.746995
411	資訊	182	152671	28.781305
412	男人	180	152851	28.815238
413	股市	180	153031	28.849171
414	得到	180	153211	28.883104
415	醫院	180	153391	28.917037
416	成績	179	153570	28.950782
417	速度	179	153749	28.984527
418	景氣	179	153928	29.018272
419	實在	179	154107	29.052017
420	避免	179	154286	29.085762
421	形象	178	154464	29.119318
422	條件	178	154642	29.152874
423	規劃	178	154820	29.186430
424	會議	178	154998	29.219986
425	態度	178	155176	29.253542
426	導演	178	155354	29.287098
427	行為	177	155531	29.320466
428	兩岸	177	155708	29.353834
429	美麗	177	155885	29.387202
430	重新	177	156062	29.420570
431	檢查	177	156239	29.453938
432	多少	176	156415	29.487117
433	令人	175	156590	29.520108
434	左右	175	156765	29.553099
435	招生	175	156940	29.586090
436	狀況	175	157115	29.619081
437	設備	175	157290	29.652072
438	內容	174	157464	29.684874
439	各種	173	157637	29.717488
440	客戶	173	157810	29.750102
441	時期	173	157983	29.782716
442	掌握	173	158156	29.815330
443	曾經	173	158329	29.847944
444	自我	172	158501	29.880369
445	車身	172	158673	29.912794
446	享受	172	158845	29.945219
447	婦女	172	159017	29.977644
448	價格	172	159189	30.010069
449	立委	171	159360	30.042306
450	死亡	171	159531	30.074543
451	往往	171	159702	30.106780
452	表演	171	159873	30.139017
453	效果	171	160044	30.171254
454	眼睛	171	160215	30.203491
455	大量	170	160385	30.235539
456	正式	170	160555	30.267587
457	有些	170	160725	30.299635
458	車系	170	160895	30.331683
459	能夠	170	161065	30.363731
460	推動	170	161235	30.395779
461	醫師	170	161405	30.427827
462	雜誌	170	161575	30.459875
463	通常	169	161744	30.491735
464	人口	168	161912	30.523406
465	公里	168	162080	30.555077
466	保持	168	162248	30.586748
467	降低	168	162416	30.618419
468	這裡	167	162583	30.649902
469	德國	167	162750	30.681385
470	調整	167	162917	30.712868
471	考慮	166	163083	30.744162
472	配合	166	163249	30.775456
473	愛滋病	166	163415	30.806750
474	辦法	166	163581	30.838044
475	小時	165	163746	30.869150
476	行動	165	163911	30.900256
477	情形	165	164076	30.931362
478	集團	165	164241	30.962468
479	感染	165	164406	30.993574
480	獨立	165	164571	31.024680
481	簡單	165	164736	31.055786
482	那些	164	164900	31.086703
483	每天	163	165063	31.117432
484	業務	163	165226	31.148161
485	所謂	162	165388	31.178701
486	動力	162	165550	31.209241
487	參與	162	165712	31.239781
488	唯一	162	165874	31.270321
489	工程	161	166035	31.300672
490	不論	161	166196	31.331023
491	公尺	161	166357	31.361374
492	事件	161	166518	31.391725
493	狀態	161	166679	31.422076
494	維持	161	166840	31.452427
495	上海	160	167000	31.482590
496	年輕	160	167160	31.512753
497	家長	160	167320	31.542916
498	結束	160	167480	31.573079
499	製作	160	167640	31.603242
500	加入	159	167799	31.633216
501	永遠	159	167958	31.663190
502	經堂	159	168117	31.693164
503	趨勢	159	168276	31.723138
504	知識	158	168434	31.752924
505	不但	157	168591	31.782521
506	星系	157	168748	31.812118
507	特殊	157	168905	31.841715
508	結構	157	169062	31.871312
509	有效	156	169218	31.900721
510	負責	156	169374	31.930130
511	訓練	156	169530	31.959539
512	強調	156	169686	31.988948
513	期間	156	169842	32.018357
514	介紹	155	169997	32.047577
515	以為	155	170152	32.076797
516	兒子	155	170307	32.106017
517	計劃	155	170462	32.135237
518	面臨	155	170617	32.164457
519	患者	155	170772	32.193677
520	新聞	155	170927	32.222897
521	工業	154	171081	32.251929
522	困難	154	171235	32.280961
523	突然	154	171389	32.309993
524	追求	154	171543	32.339025
525	實施	154	171697	32.368057
526	機構	154	171851	32.397089
527	謝謝	154	172005	32.426121
528	小孩	153	172158	32.454964
529	分別	153	172311	32.483807
530	吸引	153	172464	32.512650
531	官員	153	172617	32.541493
532	相同	153	172770	32.570336
533	女兒	152	172922	32.598991
534	成熟	152	173074	32.627646
535	缺乏	152	173226	32.656301
536	離開	152	173378	32.684956
537	少年	151	173529	32.713422
538	地位	151	173680	32.741888
539	利益	151	173831	32.770354
540	事情	151	173982	32.798820
541	根本	151	174133	32.827286
542	創造	151	174284	32.855752
543	報告	151	174435	32.884218
544	失去	150	174585	32.912496
545	申請	150	174735	32.940774
546	持續	150	174885	32.969052
547	校園	150	175035	32.997330
548	創意	150	175185	33.025608
549	運用	150	175335	33.053886
550	讀者	150	175485	33.082164
551	生存	149	175634	33.110253
552	安排	149	175783	33.138342
553	明年	149	175932	33.166431
554	基礎	149	176081	33.194520
555	統一	149	176230	33.222609
556	提升	149	176379	33.250698
557	整個	149	176528	33.278787
558	中央	148	176676	33.306688
559	文學	148	176824	33.334589
560	平均	148	176972	33.362490
561	都市	148	177120	33.390391
562	發揮	148	177268	33.418292
563	程度	148	177416	33.446193
564	需求	148	177564	33.474094
565	呈現	147	177711	33.501806
566	冠軍	147	177858	33.529518
567	大約	146	178004	33.557042
568	消費者	146	178150	33.584566
569	清楚	146	178296	33.612090
570	規定	146	178442	33.639614
571	肯定	144	178586	33.666761
572	森林	144	178730	33.693908
573	登場	144	178874	33.721055
574	人才	143	179017	33.748013
575	品牌	143	179160	33.774971
576	看見	143	179303	33.801929
577	疾病	143	179446	33.828887
578	人士	142	179588	33.855657
579	今日	142	179730	33.882427
580	水準	142	179872	33.909197
581	目的	142	180014	33.935967
582	名單	142	180156	33.962737
583	階段	142	180298	33.989507
584	擴大	142	180440	34.016277
585	心情	141	180581	34.042858
586	生物	141	180722	34.069439
587	校長	141	180863	34.096020
588	畢業	141	181004	34.122601
589	這是	141	181145	34.149182
590	團體	141	181286	34.175763
591	公布	140	181426	34.202156
592	全部	140	181566	34.228549
593	玻璃	140	181706	34.254942
594	習慣	140	181846	34.281335
595	證明	140	181986	34.307728
596	正確	139	182125	34.333932
597	民國	139	182264	34.360136
598	全面	139	182403	34.386340
599	空氣	139	182542	34.412544
600	特色	139	182681	34.438748
601	感受	139	182820	34.464952
602	不可	138	182958	34.490968
603	本身	138	183096	34.516984
604	正常	138	183234	34.543000
605	回家	138	183372	34.569016
606	如今	138	183510	34.595032
607	西方	138	183648	34.621048
608	那裡	138	183786	34.647064
609	相關	138	183924	34.673080
610	風格	138	184062	34.699096
611	透過	138	184200	34.725112
612	絕對	138	184338	34.751128
613	豐富	138	184476	34.777144
614	反而	137	184613	34.802971
615	參觀	137	184750	34.828798
616	國中	137	184887	34.854625
617	理想	137	185024	34.880452
618	達到	137	185161	34.906279
619	學者	137	185298	34.932106
620	一旦	136	185434	34.957745
621	明天	136	185570	34.983384
622	發表	136	185706	35.009023
623	中國人	135	185841	35.034473
624	印象	135	185976	35.059923
625	良好	135	186111	35.085373
626	當地	135	186246	35.110823
627	公開	134	186380	35.136084
628	好像	134	186514	35.161345
629	屬於	134	186648	35.186606
630	有趣	133	186781	35.211679
631	利率	133	186914	35.236752
632	首先	133	187047	35.261825
633	規模	133	187180	35.286898
634	擔心	133	187313	35.311971
635	車種	132	187445	35.336855
636	恐龍	132	187577	35.361739
637	接觸	132	187709	35.386623
638	大眾	131	187840	35.411319
639	主管	131	187971	35.436015
640	採用	131	188102	35.460711
641	垃圾	130	188232	35.485218
642	金融	130	188362	35.509725
643	思想	130	188492	35.534232
644	研習	130	188622	35.558739
645	討論	130	188752	35.583246
646	輕鬆	130	188882	35.607753
647	導致	130	189012	35.632260
648	內部	129	189141	35.656579
649	來自	129	189270	35.680898
650	小學	128	189398	35.705028
651	教室	128	189526	35.729158
652	這麼	128	189654	35.753288
653	解釋	128	189782	35.777418
654	道路	128	189910	35.801548
655	整體	128	190038	35.825678
656	北京	127	190165	35.849620
657	色彩	127	190292	35.873562
658	行銷	127	190419	35.897504
659	花蓮	127	190546	35.921446
660	消失	127	190673	35.945388
661	結合	127	190800	35.969330
662	總經理	127	190927	35.993272
663	挑戰	126	191053	36.017025
664	堅持	126	191179	36.040778
665	部門	126	191305	36.064531
666	興趣	126	191431	36.088284
667	總是	126	191557	36.112037
668	丈夫	125	191682	36.135602
669	回來	125	191807	36.159167
670	法律	125	191932	36.182732
671	原本	125	192057	36.206297
672	從事	125	192182	36.229862
673	獲利	125	192307	36.253427
674	怎樣	124	192431	36.276803
675	高中	124	192555	36.300179
676	數學	124	192679	36.323555
677	公園	123	192802	36.346743
678	方案	123	192925	36.369931
679	流行	123	193048	36.393119
680	常常	123	193171	36.416307
681	教部	123	193294	36.439495
682	尋找	123	193417	36.462683
683	貿易	123	193540	36.485871
684	進口	123	193663	36.509059
685	煩惱	123	193786	36.532247
686	擔任	123	193909	36.555435
687	角度	122	194031	36.578434
688	思考	122	194153	36.601433
689	無論	122	194275	36.624432
690	對象	122	194397	36.647431
691	休閒	121	194518	36.670242
692	植物	121	194639	36.693053
693	適合	121	194760	36.715864
694	它們	120	194880	36.738486
695	我國	120	195000	36.761108
696	消費	120	195120	36.783730
697	情緒	120	195240	36.806352
698	報紙	120	195360	36.828974
699	緊張	120	195480	36.851596
700	模式	120	195600	36.874218
701	有時	119	195719	36.896652
702	李登輝	119	195838	36.919086
703	亞洲	119	195957	36.941520
704	或者	119	196076	36.963954
705	原則	119	196195	36.986388
706	馬力	119	196314	37.008822
707	國外	119	196433	37.031256
708	意見	119	196552	37.053690
709	鼓勵	119	196671	37.076124
710	範圍	119	196790	37.098558
711	大部分	118	196908	37.120803
712	充分	118	197026	37.143048
713	限制	118	197144	37.165293
714	辦理	118	197262	37.187538
715	聰明	118	197380	37.209783
716	重大	117	197497	37.231840
717	海外	117	197614	37.253897
718	輔導	117	197731	37.275954
719	人體	116	197847	37.297822
720	危機	116	197963	37.319690
721	青年	116	198079	37.341558
722	相對	116	198195	37.363426
723	接近	116	198311	37.385294
724	採取	116	198427	37.407162
725	暑假	116	198543	37.429030
726	競賽	116	198659	37.450898
727	顯然	116	198775	37.472766
728	快速	115	198890	37.494446
729	皇帝	115	199005	37.516126
730	執行	115	199120	37.537806
731	溝通	115	199235	37.559486
732	確定	115	199350	37.581166
733	大自然	114	199464	37.602657
734	歡樂	114	199578	37.624148
735	小心	113	199691	37.645451
736	幼稚園	113	199804	37.666754
737	名字	113	199917	37.688057
738	穩定	113	200030	37.709360
739	轎車	113	200143	37.730663
740	自殺	112	200255	37.751777
741	迅速	112	200367	37.772891
742	到底	112	200479	37.794005
743	家人	112	200591	37.815119
744	破壞	112	200703	37.836233
745	動作	112	200815	37.857347
746	商品	112	200927	37.878461
747	訪問	112	201039	37.899575
748	儘管	112	201151	37.920689
749	下來	111	201262	37.941615
750	比例	111	201373	37.962541
751	立即	111	201484	37.983467
752	再度	111	201595	38.004393
753	回收	111	201706	38.025319
754	西元	111	201817	38.046245
755	星期	111	201928	38.067171
756	陽光	111	202039	38.088097
757	預算	111	202150	38.109023
758	購買	111	202261	38.129949
759	關鍵	111	202372	38.150875
760	願意	111	202483	38.171801
761	大多數	110	202593	38.192538
762	幼兒	110	202703	38.213275
763	至少	110	202813	38.234012
764	否則	110	202923	38.254749
765	刺激	110	203033	38.275486
766	爭取	110	203143	38.296223
767	恢復	110	203253	38.316960
768	展現	110	203363	38.337697
769	時刻	110	203473	38.358434
770	症狀	110	203583	38.379171
771	商業	110	203693	38.399908
772	意識	110	203803	38.420645
773	愛情	110	203913	38.441382
774	語言	110	204023	38.462119
775	顏色	110	204133	38.482856
776	老人	109	204242	38.503405
777	差異	109	204351	38.523954
778	針對	109	204460	38.544503
779	措施	109	204569	38.565052
780	晚上	109	204678	38.585601
781	報名	109	204787	38.606150
782	發行	109	204896	38.626699
783	照片	109	205005	38.647248
784	臺北縣	109	205114	38.667797
785	類似	109	205223	38.688346
786	天下	108	205331	38.708706
787	出國	108	205439	38.729066
788	同意	108	205547	38.749426
789	背景	108	205655	38.769786
790	數字	108	205763	38.790146
791	確實	108	205871	38.810506
792	觀點	108	205979	38.830866
793	加速	107	206086	38.851037
794	正是	107	206193	38.871208
795	而已	107	206300	38.891379
796	車款	107	206407	38.911550
797	或是	107	206514	38.931721
798	長大	107	206621	38.951892
799	看法	107	206728	38.972063
800	博士	107	206835	38.992234
801	對方	107	206942	39.012405
802	臺商	107	207049	39.032576
803	權力	107	207156	39.052747
804	不錯	106	207262	39.072730
805	危險	106	207368	39.092713
806	回答	106	207474	39.112696
807	投入	106	207580	39.132679
808	股票	106	207686	39.152662
809	信心	106	207792	39.172645
810	節目	106	207898	39.192628
811	臺中	106	208004	39.212611
812	澳洲	106	208110	39.232594
813	各地	105	208215	39.252388
814	成果	105	208320	39.272182
815	考試	105	208425	39.291976
816	免費	105	208530	39.311770
817	受到	105	208635	39.331564
818	妻子	105	208740	39.351358
819	昨天	105	208845	39.371152
820	現實	105	208950	39.390946
821	跑車	105	209055	39.410740
822	瞭解	105	209160	39.430534
823	繪畫	105	209265	39.450328
824	關心	105	209370	39.470122
825	只能	104	209474	39.489728
826	民族	104	209578	39.509334
827	取得	104	209682	39.528940
828	房地產	104	209786	39.548546
829	突破	104	209890	39.568152
830	尊重	104	209994	39.587758
831	普遍	104	210098	39.607364
832	辦公室	104	210202	39.626970
833	嬰兒	104	210306	39.646576
834	工廠	103	210409	39.665993
835	失敗	103	210512	39.685410
836	房子	103	210615	39.704827
837	物質	103	210718	39.724244
838	旅行	103	210821	39.743661
839	訊息	103	210924	39.763078
840	感情	103	211027	39.782495
841	一生	102	211129	39.801724
842	工具	102	211231	39.820953
843	自動	102	211333	39.840182
844	身上	102	211435	39.859411
845	咖啡	102	211537	39.878640
846	裡面	102	211639	39.897869
847	農民	102	211741	39.917098
848	衛生	102	211843	39.936327
849	分鐘	101	211944	39.955367
850	至今	101	212045	39.974407
851	家族	101	212146	39.993447
852	記者	101	212247	40.012487
853	培養	101	212348	40.031527
854	貸款	101	212449	40.050567
855	進步	101	212550	40.069607
856	實驗	101	212651	40.088647
857	複雜	101	212752	40.107687
858	收入	100	212852	40.126539
859	形式	100	212952	40.145391
860	找到	100	213052	40.164243
861	投資人	100	213152	40.183095
862	男性	100	213252	40.201947
863	依然	100	213352	40.220799
864	夏天	100	213452	40.239651
865	著名	100	213552	40.258503
866	愛心	100	213652	40.277355
867	經費	100	213752	40.296207
868	人數	99	213851	40.314870
869	小姐	99	213950	40.333533
870	交易	99	214049	40.352196
871	老闆	99	214148	40.370859
872	呼吸	99	214247	40.389522
873	彼此	99	214346	40.408185
874	計算	99	214445	40.426848
875	氣氛	99	214544	40.445511
876	採訪	99	214643	40.464174
877	暴力	99	214742	40.482837
878	器官	99	214841	40.501500
879	大幅	98	214939	40.519975
880	子女	98	215037	40.538450
881	主題	98	215135	40.556925
882	合理	98	215233	40.575400
883	車子	98	215331	40.593875
884	協助	98	215429	40.612350
885	英文	98	215527	40.630825
886	執政黨	98	215625	40.649300
887	符合	98	215723	40.667775
888	演員	98	215821	40.686250
889	之前	97	215918	40.704536
890	位置	97	216015	40.722822
891	保險	97	216112	40.741108
892	紛紛	97	216209	40.759394
893	設立	97	216306	40.777680
894	整合	97	216403	40.795966
895	禮物	97	216500	40.814252
896	不管	96	216596	40.832350
897	牙齒	96	216692	40.850448
898	扭力	96	216788	40.868546
899	玩具	96	216884	40.886644
900	高雄市	96	216980	40.904742
901	深入	96	217076	40.922840
902	戲劇	96	217172	40.940938
903	關懷	96	217268	40.959036
904	嚴格	96	217364	40.977134
905	反映	95	217459	40.995043
906	立刻	95	217554	41.012952
