Traditional	Simplified	Pinyin
負責	负责	fùzé
民間	民间	mínjiān
雖	虽	suī
影響	影响	yǐngxiǎng
直接	直接	zhíjiē
幾乎	几乎	jīhū
分	分	fèn
實際	实际	shíjì
團體	团体	tuántǐ
價值	价值	jiàzhí
使得	使得	shǐdé
類	类	lèi
形成	形成	xíngchéng
科技	科技	kējì
這麼	这么	zhème
當	当	dāng
七	七	qī
不但	不但	búdàn
往	往	wǎng
本身	本身	běnshēn
標準	标准	biāozhǔn
似乎	似乎	sìhū
應用	应用	yìngyòng
或者	或者	huòzhě
動物	动物	dòngwù
電話	电话	diànhuà
態度	态度	tàidù
建設	建设	jiànshè
事業	事业	shìyè
老	老	lǎo
那麼	那么	nàmo
常常	常常	chángcháng
字	字	zì
坐	坐	zuò
舉辦	举办	jǔbàn
自我	自我	zìwǒ
有的	有的	yǒude
具	具	jù
目的	目的	mùdì
塊	块	kuài
條件	条件	tiáojiàn
即使	即使	jíshǐ
好	好	hǎo
十分	十分	shífēn
多少	多少	duōshǎo
放	放	fàng
又	又	yòu
電影	电影	diànyǐng
科學	科学	kēxué
執行	执行	zhíxíng
邊	边	biān
委員會	委员会	wěiyuánhuì
溝通	沟通	gōutōng
開	开	kāi
一起	一起	yīqǐ
張	张	zhāng
針對	针对	zhēnduì
員工	员工	yuángōng
引起	引起	yǐnqǐ
自然	自然	zìrán
那麼	那么	nàmo
安全	安全	ānquán
總統	总统	zǒngtǒng
此外	此外	cǐwài
擁有	拥有	yǒngyǒu
並且	并且	bìngqiě
事件	事件	shìjiàn
設計	设计	shèjì
研究所	研究所	yánjiùsuǒ
語言	语言	yǔyán
嚴重	严重	yánzhòng
故事	故事	gùshì
學術	学术	xuéshù
片	片	piàn
設備	设备	shèbèi
之外	之外	zhīwài
車	车	chē
基本	基本	jīběn
實在	实在	shízài
久	久	jiǔ
套	套	tào
達到	达到	dádào
改善	改善	gǎishàn
死	死	sǐ
結構	结构	jiégòu
住	住	zhù
皆	皆	jiē
改變	改变	gǎibiàn
拿	拿	ná
小組	小组	xiǎozǔ
支持	支持	zhīchí
座	座	zuò
醫院	医院	yīyuàn
既	既	jì
僅	仅	jǐn
值得	值得	zhíde
學者	学者	xuézhě
八	八	bā
交通	交通	jiāotōng
階段	阶段	jiēduàn
就是	就是	jiùshì
申請	申请	shēnqǐng
主管	主管	zhǔguǎn
申請	申请	shēnqǐng
同	同	tóng
感覺	感觉	gǎnjué
電視	电视	diànshì
母親	母亲	mǔqīn
嘛	嘛	má
香港	香港	xiānggǎng
記者	记者	jìzhě
壓力	压力	yālì
快樂	快乐	kuàilè
喝	喝	hē
敢	敢	gǎn
院	院	yuàn
也許	也许	yěxǔ
人們	人们	rénmen
談	谈	tán
生產	生产	shēngchǎn
怕	怕	pà
就	就	jiù
身體	身体	shēntǐ
規定	规定	guīdìng
程度	程度	chéngdù
積極	积极	jījí
知識	知识	zhīshì
作為	作为	zuòwéi
機構	机构	jīgòu
而是	而是	érshì
鼓勵	鼓励	gǔlì
角色	角色	jiǎosè
狀況	状况	zhuàngkuàng
專家	专家	zhuānjiā
據	据	jù
清楚	清楚	qīngchǔ
不僅	不仅	bùjǐn
比賽	比赛	bǐsài
玩	玩	wán
效果	效果	xiàoguǒ
越	越	yuè
保護	保护	bǎohù
共	共	gòng
開放	开放	kāifàng
附近	附近	fùjìn
上	上	shàng
父親	父亲	fùqīn
專業	专业	zhuānyè
經費	经费	jīngfèi
曾經	曾经	céngjīng
工作	工作	gōngzuò
願意	愿意	yuànyì
分別	分别	fēnbié
重視	重视	zhòngshì
不少	不少	bùshǎo
歡迎	欢迎	huānyíng
小孩	小孩	xiǎohái
小時	小时	xiǎoshí
中國人	中国人	zhōngguórén
顯示	显示	xiǎnshì
中共	中共	zhōnggòng
出	出	chū
男人	男人	nánrén
避免	避免	bìmiǎn
屬於	属于	shǔyū
實施	实施	shíshī
聲音	声音	shēngyīn
主義	主义	zhǔyì
行動	行动	xíngdòng
不可	不可	bùkě
只有	只有	zhǐyǒu
校園	校园	xiàoyuán
興趣	兴趣	xìngqù
山	山	shān
表現	表现	biǎoxiàn
得	得	dé
回來	回来	huílái
主任	主任	zhǔrèn
裡面	里面	lǐmiàn
經常	经常	jīngcháng
不再	不再	búzài
電子	电子	diànzǐ
受	受	shòu
思想	思想	sīxiǎng
頭	头	tóu
終於	终于	zhōngyū
謝謝	谢谢	xièxiè
協助	协助	xiézhù
除	除	chú
當地	当地	dāngdì
正式	正式	zhèngshì
真正	真正	zhēnzhèng
低	低	dī
性	性	xìng
份	份	fèn
因素	因素	yīnsù
推出	推出	tuīchū
上	上	shàng
價格	价格	jiàgé
去	去	qù
認識	认识	rènshì
方向	方向	fāngxiàng
責任	责任	zérèn
說明	说明	shuōmíng
工業	工业	gōngyè
大量	大量	dàliàng
做	做	zuò
逐漸	逐渐	zhújiàn
心理	心理	xīnlǐ
一點	一点	yīdiǎn
供	供	gōng
須	须	xū
簡單	简单	jiǎndān
運用	运用	yùnyòng
觀察	观察	guānchá
往往	往往	wǎngwǎng
規劃	规划	guīhuà
減少	减少	jiǎnshǎo
重新	重新	chóngxīn
業務	业务	yèwù
報導	报导	bàodǎo
仍然	仍然	réngrán
感到	感到	gǎndào
開放	开放	kāifàng
領域	领域	lǐngyū
有效	有效	yǒuxiào
女	女	nǔ
要	要	yào
從事	从事	cóngshì
發揮	发挥	fāhuī
人才	人才	réncái
反而	反而	fǎnér
行政	行政	xíngzhèng
銀行	银行	yínháng
公共	公共	gōnggòng
媒體	媒体	méitǐ
提高	提高	tígāo
代	代	dài
自然	自然	zìrán
社區	社区	shèqū
力量	力量	lìliàng
啊	啊	ā
教育部	教育部	jiàoyūbù
愈	愈	yū
超過	超过	chāoguò
維持	维持	wéichí
家長	家长	jiāzhǎng
結合	结合	jiéhé
校長	校长	xiàozhǎng
通常	通常	tōngcháng
缺乏	缺乏	quēfá
委員	委员	wěiyuán
特色	特色	tèsè
結果	结果	jiéguǒ
有時	有时	yǒushí
教師	教师	jiàoshī
之前	之前	zhīqián
遠	远	yuǎn
控制	控制	kòngzhì
本	本	běn
否則	否则	fǒuzé
法	法	fǎ
少	少	shǎo
原則	原则	yuánzé
要	要	yào
臉	脸	liǎn
通過	通过	tōngguò
建議	建议	jiànyì
工具	工具	gōngjù
作業	作业	zuòyè
達	达	dá
節目	节目	jiémù
智慧	智慧	zhìhuì
來自	来自	láizì
而	而	ér
變化	变化	biànhuà
同樣	同样	tóngyàng
形式	形式	xíngshì
站	站	zhàn
以為	以为	yǐwéi
健康	健康	jiànkāng
擔任	担任	dānrèn
人口	人口	rénkǒu
規劃	规划	guīhuà
剛	刚	gāng
特殊	特殊	tèshū
原來	原来	yuánlái
道	道	dào
分	分	fēn
傳統	传统	chuántǒng
總是	总是	zǒngshì
前往	前往	qiánwǎng
投資	投资	tóuzī
加強	加强	jiāqiáng
不斷	不断	búduàn
對象	对象	duìxiàng
追求	追求	zhuīqiú
加上	加上	jiāshàng
比	比	bǐ
思考	思考	sīkǎo
製作	制作	zhìzuò
台北市	台北市	táiběishì
取得	取得	qǔdé
出來	出来	chūlái
加入	加入	jiārù
台	台	tái
安排	安排	ānpái
兒童	儿童	értóng
國中	国中	guózhōng
範圍	范围	fànwéi
老人	老人	lǎorén
雙方	双方	shuāngfāng
牠	牠	tā
北京	北京	běijīng
年輕	年轻	niánqīng
結束	结束	jiéshù
教	教	jiāo
程式	程式	chéngshì
婦女	妇女	fùnǔ
找到	找到	zhǎodào
彼此	彼此	bǐcǐ
全球	全球	quánqiú
成本	成本	chéngběn
回到	回到	huídào
部	部	bù
而已	而已	éryǐ
之下	之下	zhīxià
等	等	děng
變	变	biàn
期間	期间	qíjiān
非	非	fēi
小姐	小姐	xiǎojiě
整體	整体	zhěngtǐ
採用	采用	cǎiyòng
根本	根本	gēnběn
叫	叫	jiào
歐洲	欧洲	ōuzhōu
正在	正在	zhèngzài
加以	加以	jiāyǐ
充滿	充满	chōngmǎn
系列	系列	xìliè
隨著	随着	suízhe
早	早	zǎo
等等	等等	děngděng
頗	颇	pǒ
不足	不足	bùzú
總	总	zǒng
分析	分析	fēnxī
深	深	shēn
報告	报告	bàogào
不錯	不错	búcuò
在於	在于	zàiyū
旁	旁	páng
笑	笑	xiào
故	故	gù
消費者	消费者	xiāofèizhě
意識	意识	yìshì
公尺	公尺	gōngchǐ
民族	民族	mínzú
為主	为主	wéizhǔ
大眾	大众	dàzhòng
到底	到底	dàodǐ
願	愿	yuàn
度	度	dù
大概	大概	dàgài
對方	对方	duìfāng
官員	官员	guānyuán
發表	发表	fābiǎo
進一步	进一步	jìnyībù
自由	自由	zìyóu
正確	正确	zhèngquè
豐富	丰富	fēngfù
國民黨	国民党	guómíndǎng
戰爭	战争	zhànzhēng
怎麼樣	怎么样	zěnmeyàng
只好	只好	zhǐhǎo
明顯	明显	míngxiǎn
改革	改革	gǎigé
表達	表达	biǎodá
肯定	肯定	kěndìng
強	强	qiáng
高興	高兴	gāoxìng
哪	哪	nǎ
樹	树	shù
適合	适合	shìhé
茶	茶	chá
別	别	bié
國外	国外	guówài
關心	关心	guānxīn
蘇聯	苏联	sūlián
成績	成绩	chéngjī
人物	人物	rénwù
聽到	听到	tīngdào
創造	创造	chuàngzào
不必	不必	búbì
不論	不论	búlùn
尚	尚	shàng
居民	居民	jūmín
不管	不管	bùguǎn
美麗	美丽	měilì
伊拉克	伊拉克	yīlākè
帶來	带来	dàilái
有	有	yǒu
般	般	bān
永遠	永远	yǒngyuǎn
感情	感情	gǎnqíng
兒子	儿子	érzi
這樣子	这样子	zhèyàngzi
起	起	qǐ
全部	全部	quánbù
回家	回家	huíjiā
獨立	独立	dúlì
英國	英国	yīngguó
投資	投资	tóuzī
理論	理论	lǐlùn
面臨	面临	miànlín
選手	选手	xuǎnshǒu
分鐘	分钟	fēnzhōng
內部	内部	nèibù
西方	西方	xīfāng
人家	人家	rénjiā
準備	准备	zhǔnbèi
眼睛	眼睛	yǎnjīng
如	如	rú
眼	眼	yǎn
離開	离开	líkāi
競爭	竞争	jìngzhēng
專利	专利	zhuānlì
成果	成果	chéngguǒ
活	活	huó
心情	心情	xīnqíng
介紹	介绍	jièshào
現場	现场	xiànchǎng
突然	突然	túrán
客戶	客户	kèhù
間	间	jiān
印象	印象	yìnxiàng
花	花	huā
海	海	hǎi
真正	真正	zhēnzhèng
保持	保持	bǎochí
時期	时期	shíqí
層	层	céng
保持	保持	bǎochí
方便	方便	fāngbiàn
幫助	帮助	bāngzhù
基礎	基础	jīchǔ
個人	个人	gèrén
新竹	新竹	xīnzhú
李	李	lǐ
生	生	shēng
圖書館	图书馆	túshūguǎn
她們	她们	tāmen
美元	美元	měiyuán
讀	读	dú
以來	以来	yǐlái
或許	或许	huòxǔ
課	课	kè
病人	病人	bìngrén
實驗	实验	shíyàn
有時候	有时候	yǒushíhòu
辦理	办理	bànlǐ
部門	部门	bùmén
類似	类似	lèisì
廣告	广告	guǎnggào
送	送	sòng
夠	够	gòu
新加坡	新加坡	xīnjiāpō
擔心	担心	dānxīn
商業	商业	shāngyè
掌握	掌握	zhǎngwò
兩岸	两岸	liǎngàn
門	门	mén
方案	方案	fāngàn
至少	至少	zhìshǎo
看法	看法	kànfǎ
原本	原本	yuánběn
措施	措施	cuòshī
表現	表现	biǎoxiàn
社團	社团	shètuán
九	九	jiǔ
展開	展开	zhǎnkāi
如	如	rú
博士	博士	bóshì
道路	道路	dàolù
竟	竟	jìng
項目	项目	xiàngmù
需	需	xū
學院	学院	xuéyuàn
代表	代表	dàibiǎo
同意	同意	tóngyì
原住民	原住民	yuánzhùmín
策略	策略	cèluè
白	白	bái
平均	平均	píngjūn
所	所	suǒ
靠	靠	kào
互相	互相	hùxiāng
地位	地位	dìwèi
體育	体育	tǐyù
樣	样	yàng
亞洲	亚洲	yǎzhōu
採取	采取	cǎiqǔ
日	日	rì
畢業	毕业	bìyè
相同	相同	xiāngtóng
欣賞	欣赏	xīnshǎng
法律	法律	fǎlù
詞	词	cí
大型	大型	dàxíng
中華	中华	zhōnghuá
台大	台大	táidà
意思	意思	yìsī
在一起	在一起	zàiyīqǐ
係	系	xì
持續	持续	chíxù
群	群	qún
慢慢	慢慢	mànmàn
高雄	高雄	gāoxióng
製造	制造	zhìzào
醫療	医疗	yīliáo
邀請	邀请	yāoqǐng
滿足	满足	mǎnzú
速度	速度	sùdù
重點	重点	zhòngdiǎn
保存	保存	bǎocún
評估	评估	pínggū
限制	限制	xiànzhì
符合	符合	fúhé
利益	利益	lìyì
組成	组成	zǔchéng
檢查	检查	jiǎnchá
看見	看见	kànjiàn
瞭解	瞭解	liǎojiě
立刻	立刻	lìkè
女兒	女儿	nǔér
數	数	shù
上課	上课	shàngkè
整合	整合	zhěnghé
更多	更多	gèngduō
唯一	唯一	wéiyī
人數	人数	rénshù
的確	的确	díquè
主題	主题	zhǔtí
用戶	用户	yònghù
快速	快速	kuàisù
設施	设施	shèshī
文學	文学	wénxué
步	步	bù
那裡	那里	nàlǐ
到	到	dào
美	美	měi
需要	需要	xūyào
失去	失去	shīqù
做為	做为	zuòwéi
複雜	复杂	fùzá
屆	届	jiè
作用	作用	zuòyòng
調整	调整	tiáozhěng
佔	佔	zhàn
要求	要求	yāoqiú
高中	高中	gāozhōng
動作	动作	dòngzuò
模式	模式	móshì
多	多	duó
吸引	吸引	xīyǐn
記得	记得	jìde
賣	卖	mài
例	例	lì
推廣	推广	tuīguǎng
本來	本来	běnlái
具體	具体	jùtǐ
太太	太太	tàitài
之中	之中	zhīzhōng
宗教	宗教	zōngjiào
舊	旧	jiù
反應	反应	fǎnyìng
觀眾	观众	guānzhòng
立場	立场	lìchǎng
旅遊	旅遊	lǔyóu
因而	因而	yīnér
理念	理念	lǐniàn
它們	它们	tāmen
上面	上面	shàngmiàn
回	回	huí
支	支	zhī
少年	少年	shàonián
輔導	辅导	fǔdǎo
爭取	争取	zhēngqǔ
輔導	辅导	fǔdǎo
想到	想到	xiǎngdào
可能	可能	kěnéng
尊重	尊重	zūnzhòng
替	替	tì
地點	地点	dìdiǎn
何	何	hé
黨	党	dǎng
進步	进步	jìnbù
欲	欲	yū
危機	危机	wéijī
正常	正常	zhèngcháng
角度	角度	jiǎodù
尚未	尚未	shàngwèi
院長	院长	yuànzhǎng
習慣	习惯	xíguàn
期	期	qí
環保	环保	huánbǎo
交流	交流	jiāoliú
困難	困难	kùnnán
需	需	xū
完整	完整	wánzhěng
費用	费用	fèiyòng
完整	完整	wánzhěng
上述	上述	shàngshù
呈現	呈现	chéngxiàn
照顧	照顾	zhàogù
達成	达成	dáchéng
批	批	pī
培養	培养	péiyǎng
垃圾	垃圾	lèsè
圖	图	tú
擴大	扩大	kuòdà
篇	篇	piān
比例	比例	bǐlì
風格	风格	fēnggé
難以	难以	nányǐ
機關	机关	jīguān
情緒	情绪	qíngxù
勞工	劳工	láogōng
一旦	一旦	yīdàn
多媒體	多媒体	duōméitǐ
求	求	qiú
絕對	绝对	juéduì
資料庫	资料库	zīliàokù
選舉	选举	xuǎnjǔ
不可能	不可能	bùkěnéng
馬上	马上	mǎshàng
說話	说话	shuōhuà
享受	享受	xiǎngshòu
工廠	工厂	gōngchǎng
食物	食物	shíwù
消息	消息	xiāoxí
番	番	fān
趨勢	趋势	qūshì
房子	房子	fángzi
觀點	观点	guāndiǎn
購買	购买	gòumǎi
普遍	普遍	pǔbiàn
設立	设立	shèlì
差異	差异	chāyì
差	差	chā
另外	另外	lìngwài
統一	统一	tǒngyī
青年	青年	qīngnián
統一	统一	tǒngyī
行政院	行政院	xíngzhèngyuàn
規模	规模	guīmó
股	股	gǔ
破壞	破坏	pòhuài
想要	想要	xiǎngyào
換	换	huàn
選	选	xuǎn
人力	人力	rénlì
美	美	měi
水準	水准	shuǐzhǔn
首	首	shǒu
河川	河川	héchuān
文字	文字	wénzì
立即	立即	lìjí
適當	适当	shìdàng
醫師	医师	yīshī
屬	属	shǔ
重	重	zhòng
就是說	就是说	jiùshìshuō
結婚	结婚	jiéhūn
有	有	yǒu
日子	日子	rìzi
非	非	fēi
貿易	贸易	màoyì
相當	相当	xiāngdāng
參觀	参观	cānguān
公開	公开	gōngkāi
順利	顺利	shùnlì
男	男	nán
銷售	销售	xiāoshòu
辦	办	bàn
銷售	销售	xiāoshòu
維護	维护	wéihù
投入	投入	tóurù
稱	称	chēng
加上	加上	jiāshàng
民進黨	民进党	mínjìndǎng
必	必	bì
自由	自由	zìyóu
有限	有限	yǒuxiàn
預算	预算	yūsuàn
計算	计算	jìsuàn
效率	效率	xiàolù
樣子	样子	yàngzi
訪問	访问	fǎngwèn
位於	位于	wèiyū
訪問	访问	fǎngwèn
接觸	接触	jiēchù
流行	流行	liúxíng
喔	喔	wō
股市	股市	gǔshì
召開	召开	zhàokāi
運作	运作	yùnzuò
出版	出版	chūbǎn
藉	藉	jiè
觀光	观光	guānguāng
降低	降低	jiàngdī
大約	大约	dàyuē
來源	来源	láiyuán
理由	理由	lǐyóu
不斷	不断	búduàn
一點	一点	yīdiǎn
回答	回答	huídá
青少年	青少年	qīngshàonián
基本	基本	jīběn
一般	一般	yībān
看看	看看	kànkàn
合理	合理	hélǐ
採	采	cǎi
跟	跟	gēn
生物	生物	shēngwù
中華民國	中华民国	zhōnghuámínguó
直到	直到	zhídào
叫	叫	jiào
氣	气	qì
給予	给予	gěiyǔ
